iter,utterance_length,nb_utterances,produced,production_score
1,2,1153,1153,1.0
1,11,14,1,0.07142857142857142
1,3,985,834,0.8467005076142132
1,8,75,6,0.08
1,4,717,375,0.5230125523012552
1,6,262,39,0.14885496183206107
1,5,434,122,0.28110599078341014
1,7,155,17,0.10967741935483871
1,10,29,2,0.06896551724137931
1,9,49,4,0.08163265306122448
1,12,5,0,0.0
1,16,2,0,0.0
1,17,2,0,0.0
1,13,5,0,0.0
1,15,1,0,0.0
1,14,1,0,0.0
2,2,1146,1146,1.0
2,4,678,345,0.5088495575221239
2,3,979,847,0.8651685393258427
2,5,453,121,0.2671081677704194
2,7,143,10,0.06993006993006994
2,8,93,8,0.08602150537634409
2,6,254,45,0.17716535433070865
2,9,56,3,0.05357142857142857
2,10,30,3,0.1
2,18,1,0,0.0
2,11,17,1,0.058823529411764705
2,12,6,1,0.16666666666666666
2,13,3,0,0.0
2,14,1,0,0.0
2,16,1,0,0.0
2,15,1,0,0.0
3,2,1136,1136,1.0
3,11,13,3,0.23076923076923078
3,3,970,824,0.8494845360824742
3,7,150,14,0.09333333333333334
3,8,85,8,0.09411764705882353
3,4,710,376,0.5295774647887324
3,6,245,30,0.12244897959183673
3,5,412,112,0.27184466019417475
3,9,46,3,0.06521739130434782
3,10,31,3,0.0967741935483871
3,12,9,0,0.0
3,15,1,0,0.0
3,14,2,0,0.0
3,16,3,1,0.3333333333333333
3,13,5,1,0.2
3,17,1,0,0.0
3,23,1,0,0.0
4,2,1163,1163,1.0
4,4,692,355,0.5130057803468208
4,3,957,806,0.8422152560083594
4,8,84,7,0.08333333333333333
4,5,455,131,0.2879120879120879
4,6,264,38,0.14393939393939395
4,10,28,2,0.07142857142857142
4,7,134,17,0.12686567164179105
4,11,20,3,0.15
4,9,50,2,0.04
4,12,6,0,0.0
4,13,2,0,0.0
4,14,1,0,0.0
4,16,1,0,0.0
4,17,1,0,0.0
4,15,1,0,0.0
5,2,1211,1211,1.0
5,4,691,347,0.5021707670043415
5,11,15,3,0.2
5,3,1026,882,0.8596491228070176
5,8,96,8,0.08333333333333333
5,6,279,42,0.15053763440860216
5,5,441,128,0.29024943310657597
5,7,141,20,0.14184397163120568
5,9,53,4,0.07547169811320754
5,10,31,4,0.12903225806451613
5,12,6,0,0.0
5,13,5,0,0.0
5,14,1,0,0.0
5,16,1,0,0.0
5,23,1,0,0.0
6,2,1131,1131,1.0
6,3,999,857,0.8578578578578578
6,4,719,365,0.5076495132127955
6,6,266,37,0.13909774436090225
6,5,408,116,0.28431372549019607
6,8,80,7,0.0875
6,7,147,14,0.09523809523809523
6,10,27,0,0.0
6,9,46,2,0.043478260869565216
6,11,17,1,0.058823529411764705
6,13,6,0,0.0
6,12,7,0,0.0
6,15,1,0,0.0
6,16,1,0,0.0
7,2,1163,1163,1.0
7,11,11,2,0.18181818181818182
7,3,979,835,0.8529111338100103
7,4,651,330,0.5069124423963134
7,5,449,134,0.2984409799554566
7,8,75,10,0.13333333333333333
7,6,262,36,0.13740458015267176
7,7,136,12,0.08823529411764706
7,10,31,3,0.0967741935483871
7,9,46,0,0.0
7,12,8,0,0.0
7,13,4,1,0.25
7,15,1,0,0.0
7,17,2,0,0.0
7,16,1,0,0.0
8,2,1200,1200,1.0
8,4,675,373,0.5525925925925926
8,11,16,4,0.25
8,3,973,821,0.8437821171634121
8,7,145,15,0.10344827586206896
8,8,75,6,0.08
8,6,248,41,0.16532258064516128
8,5,432,111,0.2569444444444444
8,10,31,4,0.12903225806451613
8,9,44,4,0.09090909090909091
8,12,11,1,0.09090909090909091
8,15,2,0,0.0
8,16,2,0,0.0
8,23,1,0,0.0
8,13,1,0,0.0
9,2,1173,1173,1.0
9,4,697,352,0.5050215208034433
9,3,993,838,0.8439073514602216
9,7,158,18,0.11392405063291139
9,8,101,7,0.06930693069306931
9,5,440,116,0.2636363636363636
9,6,258,47,0.1821705426356589
9,10,28,2,0.07142857142857142
9,9,52,4,0.07692307692307693
9,11,14,1,0.07142857142857142
9,12,10,0,0.0
9,13,4,1,0.25
9,17,1,0,0.0
9,16,1,0,0.0
9,23,1,0,0.0
10,2,1170,1170,1.0
10,3,991,847,0.8546922300706358
10,4,699,357,0.5107296137339056
10,8,98,8,0.08163265306122448
10,6,263,34,0.12927756653992395
10,5,410,111,0.2707317073170732
10,7,155,15,0.0967741935483871
10,10,30,2,0.06666666666666667
10,9,47,2,0.0425531914893617
10,18,1,0,0.0
10,11,13,1,0.07692307692307693
10,12,5,0,0.0
10,16,3,1,0.3333333333333333
10,13,5,0,0.0
10,17,2,0,0.0
10,23,1,0,0.0
