iter,utterance_length,nb_utterances,produced,production_score
1,2,997,997,1.0
1,3,966,790,0.8178053830227743
1,10,15,2,0.13333333333333333
1,4,610,331,0.5426229508196722
1,6,216,25,0.11574074074074074
1,5,356,96,0.2696629213483146
1,14,2,0,0.0
1,9,32,3,0.09375
1,8,67,6,0.08955223880597014
1,13,5,1,0.2
1,7,91,5,0.054945054945054944
1,20,1,0,0.0
1,18,2,0,0.0
1,11,4,1,0.25
1,12,7,0,0.0
1,17,1,0,0.0
1,15,1,0,0.0
2,3,922,740,0.8026030368763557
2,2,1039,1039,1.0
2,8,55,7,0.12727272727272726
2,10,14,2,0.14285714285714285
2,4,634,321,0.5063091482649842
2,5,411,107,0.26034063260340634
2,9,29,3,0.10344827586206896
2,6,209,32,0.15311004784688995
2,13,7,1,0.14285714285714285
2,7,108,7,0.06481481481481481
2,12,7,0,0.0
2,11,5,0,0.0
2,14,3,0,0.0
2,18,1,0,0.0
2,24,1,1,1.0
2,25,1,0,0.0
2,17,1,0,0.0
2,20,1,0,0.0
3,4,624,328,0.5256410256410257
3,2,971,971,1.0
3,8,66,7,0.10606060606060606
3,3,916,746,0.8144104803493449
3,5,378,91,0.24074074074074073
3,10,11,1,0.09090909090909091
3,9,27,1,0.037037037037037035
3,6,209,22,0.10526315789473684
3,7,99,10,0.10101010101010101
3,18,2,0,0.0
3,13,7,0,0.0
3,12,6,0,0.0
3,11,4,1,0.25
3,14,2,0,0.0
3,24,1,0,0.0
3,25,1,0,0.0
3,17,1,0,0.0
3,16,1,0,0.0
4,2,1064,1064,1.0
4,3,940,775,0.824468085106383
4,10,14,2,0.14285714285714285
4,4,633,318,0.5023696682464455
4,5,369,81,0.21951219512195122
4,14,2,0,0.0
4,6,207,30,0.14492753623188406
4,7,105,11,0.10476190476190476
4,18,1,0,0.0
4,8,54,5,0.09259259259259259
4,13,6,0,0.0
4,9,25,3,0.12
4,11,9,1,0.1111111111111111
4,20,1,0,0.0
4,12,3,0,0.0
4,15,1,0,0.0
4,16,1,0,0.0
5,2,1065,1065,1.0
5,3,916,762,0.8318777292576419
5,4,636,329,0.5172955974842768
5,5,349,94,0.2693409742120344
5,6,198,26,0.13131313131313133
5,10,13,0,0.0
5,8,60,11,0.18333333333333332
5,9,26,2,0.07692307692307693
5,7,102,13,0.12745098039215685
5,12,5,0,0.0
5,13,5,1,0.2
5,20,1,0,0.0
5,11,10,0,0.0
5,25,1,0,0.0
5,17,1,0,0.0
5,14,1,0,0.0
5,18,1,0,0.0
5,16,1,0,0.0
6,2,968,968,1.0
6,4,620,308,0.4967741935483871
6,3,959,787,0.8206465067778936
6,10,13,1,0.07692307692307693
6,5,365,95,0.2602739726027397
6,6,204,30,0.14705882352941177
6,8,54,6,0.1111111111111111
6,7,103,9,0.08737864077669903
6,11,9,0,0.0
6,13,8,1,0.125
6,9,25,2,0.08
6,14,3,0,0.0
6,20,1,0,0.0
6,12,2,0,0.0
6,17,1,0,0.0
6,15,1,0,0.0
6,18,1,0,0.0
7,2,997,997,1.0
7,3,904,731,0.8086283185840708
7,8,61,5,0.08196721311475409
7,10,16,1,0.0625
7,11,10,1,0.1
7,5,349,93,0.2664756446991404
7,4,652,337,0.5168711656441718
7,6,202,22,0.10891089108910891
7,9,28,4,0.14285714285714285
7,18,3,0,0.0
7,7,104,8,0.07692307692307693
7,13,8,1,0.125
7,12,4,0,0.0
7,20,1,0,0.0
7,17,1,0,0.0
7,15,1,0,0.0
7,14,1,0,0.0
7,16,1,0,0.0
8,2,982,982,1.0
8,8,62,2,0.03225806451612903
8,10,13,1,0.07692307692307693
8,3,931,771,0.8281417830290011
8,4,615,302,0.49105691056910566
8,6,223,25,0.11210762331838565
8,5,370,88,0.23783783783783785
8,7,90,11,0.12222222222222222
8,18,2,0,0.0
8,9,22,6,0.2727272727272727
8,12,4,0,0.0
8,13,4,0,0.0
8,11,10,0,0.0
8,25,1,0,0.0
8,17,1,0,0.0
8,15,1,0,0.0
8,14,2,0,0.0
8,16,1,0,0.0
8,20,1,0,0.0
9,2,1033,1033,1.0
9,4,620,335,0.5403225806451613
9,3,907,731,0.8059536934950385
9,8,63,13,0.20634920634920634
9,11,15,0,0.0
9,5,372,99,0.2661290322580645
9,6,211,34,0.16113744075829384
9,10,15,1,0.06666666666666667
9,9,29,1,0.034482758620689655
9,7,105,12,0.11428571428571428
9,13,10,1,0.1
9,14,1,0,0.0
9,18,1,0,0.0
9,24,1,0,0.0
9,12,4,0,0.0
9,25,1,0,0.0
9,15,1,0,0.0
10,4,624,316,0.5064102564102564
10,2,1031,1031,1.0
10,8,63,8,0.12698412698412698
10,10,14,0,0.0
10,3,940,747,0.7946808510638298
10,5,368,95,0.25815217391304346
10,9,19,1,0.05263157894736842
10,6,214,21,0.09813084112149532
10,7,100,8,0.08
10,13,5,0,0.0
10,12,5,0,0.0
10,11,11,2,0.18181818181818182
10,14,1,0,0.0
10,20,2,0,0.0
10,24,1,1,1.0
