iter,utterance_length,nb_utterances,produced,production_score
1,2,1323,1323,1.0
1,3,1175,893,0.76
1,4,769,341,0.4434330299089727
1,5,425,106,0.24941176470588236
1,8,39,2,0.05128205128205128
1,7,81,3,0.037037037037037035
1,6,184,37,0.20108695652173914
1,9,8,0,0.0
1,10,10,1,0.1
1,11,2,0,0.0
1,16,1,0,0.0
1,12,2,0,0.0
1,13,1,0,0.0
1,14,1,0,0.0
2,3,1180,899,0.761864406779661
2,2,1279,1279,1.0
2,4,826,364,0.4406779661016949
2,5,419,100,0.2386634844868735
2,6,179,35,0.19553072625698323
2,7,68,4,0.058823529411764705
2,9,11,0,0.0
2,8,36,0,0.0
2,11,4,0,0.0
2,10,7,0,0.0
2,12,1,0,0.0
2,13,2,0,0.0
2,14,1,0,0.0
3,3,1184,896,0.7567567567567568
3,2,1321,1321,1.0
3,4,819,349,0.4261294261294261
3,5,410,117,0.28536585365853656
3,7,68,5,0.07352941176470588
3,6,213,33,0.15492957746478872
3,9,15,0,0.0
3,8,29,1,0.034482758620689655
3,10,9,0,0.0
3,11,2,0,0.0
3,12,3,0,0.0
3,13,1,0,0.0
3,14,1,0,0.0
4,3,1151,853,0.741094700260643
4,2,1328,1328,1.0
4,4,822,349,0.4245742092457421
4,5,439,117,0.26651480637813213
4,9,16,0,0.0
4,7,92,7,0.07608695652173914
4,6,180,37,0.20555555555555555
4,8,28,1,0.03571428571428571
4,11,5,0,0.0
4,10,5,0,0.0
4,12,1,0,0.0
5,3,1157,883,0.7631806395851339
5,2,1296,1296,1.0
5,4,769,318,0.4135240572171652
5,5,433,110,0.2540415704387991
5,7,78,6,0.07692307692307693
5,6,177,30,0.1694915254237288
5,9,9,1,0.1111111111111111
5,11,2,0,0.0
5,8,26,0,0.0
5,10,9,0,0.0
5,12,3,0,0.0
5,13,2,0,0.0
6,3,1174,873,0.7436115843270868
6,2,1300,1300,1.0
6,4,784,340,0.4336734693877551
6,5,426,102,0.23943661971830985
6,7,68,1,0.014705882352941176
6,6,184,35,0.19021739130434784
6,8,25,1,0.04
6,9,9,0,0.0
6,10,6,0,0.0
6,11,2,0,0.0
6,12,1,0,0.0
6,13,1,0,0.0
6,14,1,0,0.0
7,2,1329,1329,1.0
7,3,1178,909,0.7716468590831919
7,4,789,346,0.4385297845373891
7,5,422,126,0.2985781990521327
7,7,81,3,0.037037037037037035
7,6,184,31,0.16847826086956522
7,9,15,0,0.0
7,8,32,1,0.03125
7,11,4,0,0.0
7,10,6,0,0.0
7,12,2,0,0.0
7,13,1,0,0.0
8,3,1125,845,0.7511111111111111
8,2,1300,1300,1.0
8,4,768,314,0.4088541666666667
8,5,413,117,0.28329297820823246
8,9,12,0,0.0
8,6,204,39,0.19117647058823528
8,7,96,3,0.03125
8,8,37,1,0.02702702702702703
8,10,9,0,0.0
8,11,3,0,0.0
8,16,1,0,0.0
8,13,1,0,0.0
9,3,1162,877,0.7547332185886403
9,2,1298,1298,1.0
9,4,840,338,0.4023809523809524
9,5,429,110,0.2564102564102564
9,7,85,1,0.011764705882352941
9,6,192,35,0.18229166666666666
9,8,33,1,0.030303030303030304
9,9,16,0,0.0
9,11,5,0,0.0
9,10,6,0,0.0
9,16,1,0,0.0
9,13,3,0,0.0
9,12,2,0,0.0
10,3,1151,842,0.731537793223284
10,2,1295,1295,1.0
10,4,842,363,0.4311163895486936
10,5,416,95,0.2283653846153846
10,7,80,5,0.0625
10,6,215,41,0.19069767441860466
10,9,8,0,0.0
10,8,34,0,0.0
10,11,5,0,0.0
10,10,14,1,0.07142857142857142
10,16,1,0,0.0
10,13,1,0,0.0
10,12,1,0,0.0
