iter,utterance_length,nb_utterances,produced,production_score
1,2,511,511,1.0
1,7,99,4,0.04040404040404041
1,5,272,63,0.23161764705882354
1,4,399,178,0.44611528822055135
1,3,469,387,0.8251599147121536
1,6,148,14,0.0945945945945946
1,8,38,4,0.10526315789473684
1,9,33,1,0.030303030303030304
1,24,2,0,0.0
1,10,16,1,0.0625
1,12,3,0,0.0
1,13,2,0,0.0
1,11,6,1,0.16666666666666666
1,18,1,0,0.0
1,16,1,0,0.0
1,19,1,0,0.0
1,15,1,0,0.0
2,6,153,13,0.08496732026143791
2,2,476,476,1.0
2,7,88,12,0.13636363636363635
2,3,462,390,0.8441558441558441
2,11,6,0,0.0
2,4,425,200,0.47058823529411764
2,5,245,53,0.2163265306122449
2,17,1,0,0.0
2,8,43,1,0.023255813953488372
2,9,27,0,0.0
2,21,1,0,0.0
2,24,1,0,0.0
2,12,7,0,0.0
2,10,17,2,0.11764705882352941
2,14,2,0,0.0
2,13,3,0,0.0
2,15,1,0,0.0
3,4,413,182,0.4406779661016949
3,3,464,357,0.7693965517241379
3,7,84,7,0.08333333333333333
3,8,44,1,0.022727272727272728
3,2,477,477,1.0
3,5,273,74,0.27106227106227104
3,6,133,14,0.10526315789473684
3,10,13,1,0.07692307692307693
3,9,32,1,0.03125
3,12,8,0,0.0
3,11,6,0,0.0
3,13,1,0,0.0
3,16,1,0,0.0
3,19,1,0,0.0
4,6,147,11,0.07482993197278912
4,2,492,492,1.0
4,4,388,156,0.4020618556701031
4,3,450,375,0.8333333333333334
4,11,10,1,0.1
4,5,267,62,0.23220973782771537
4,17,1,0,0.0
4,7,87,7,0.08045977011494253
4,24,1,0,0.0
4,9,35,2,0.05714285714285714
4,8,42,3,0.07142857142857142
4,10,19,0,0.0
4,21,1,1,1.0
4,12,7,0,0.0
4,13,3,0,0.0
5,6,152,12,0.07894736842105263
5,7,93,7,0.07526881720430108
5,3,493,414,0.8397565922920892
5,5,252,66,0.2619047619047619
5,2,493,493,1.0
5,4,389,175,0.4498714652956298
5,11,5,1,0.2
5,9,33,3,0.09090909090909091
5,8,40,1,0.025
5,10,13,1,0.07692307692307693
5,21,1,1,1.0
5,13,3,0,0.0
5,24,1,0,0.0
5,12,5,0,0.0
5,14,1,0,0.0
6,4,398,179,0.44974874371859297
6,7,88,7,0.07954545454545454
6,3,484,400,0.8264462809917356
6,8,43,2,0.046511627906976744
6,5,249,59,0.23694779116465864
6,2,513,513,1.0
6,6,148,12,0.08108108108108109
6,17,1,0,0.0
6,9,30,3,0.1
6,21,1,0,0.0
6,24,1,0,0.0
6,10,16,0,0.0
6,14,2,0,0.0
6,11,6,0,0.0
6,13,3,0,0.0
6,12,6,0,0.0
6,16,1,0,0.0
7,4,434,208,0.4792626728110599
7,6,167,20,0.11976047904191617
7,2,505,505,1.0
7,7,87,10,0.11494252873563218
7,8,43,3,0.06976744186046512
7,5,271,63,0.23247232472324722
7,3,518,437,0.8436293436293436
7,11,7,1,0.14285714285714285
7,9,33,0,0.0
7,21,1,0,0.0
7,24,2,0,0.0
7,10,18,2,0.1111111111111111
7,13,6,0,0.0
7,17,1,0,0.0
7,12,5,0,0.0
7,14,1,0,0.0
7,15,1,0,0.0
8,2,485,485,1.0
8,3,481,391,0.8128898128898129
8,4,393,186,0.4732824427480916
8,6,147,8,0.05442176870748299
8,5,284,79,0.27816901408450706
8,11,5,0,0.0
8,8,34,1,0.029411764705882353
8,9,32,3,0.09375
8,7,85,10,0.11764705882352941
8,24,1,0,0.0
8,10,19,2,0.10526315789473684
8,13,3,0,0.0
8,17,1,0,0.0
8,12,4,1,0.25
8,14,1,0,0.0
9,4,405,174,0.42962962962962964
9,6,140,12,0.08571428571428572
9,2,507,507,1.0
9,7,92,7,0.07608695652173914
9,3,491,387,0.7881873727087576
9,5,245,64,0.2612244897959184
9,8,44,1,0.022727272727272728
9,11,5,0,0.0
9,9,34,1,0.029411764705882353
9,24,2,0,0.0
9,10,16,0,0.0
9,13,3,0,0.0
9,12,5,1,0.2
9,17,1,0,0.0
9,14,2,0,0.0
9,18,1,0,0.0
9,19,1,0,0.0
9,15,1,0,0.0
10,4,403,178,0.44168734491315137
10,6,147,16,0.10884353741496598
10,2,519,519,1.0
10,3,486,407,0.8374485596707819
10,7,92,10,0.10869565217391304
10,5,257,61,0.23735408560311283
10,11,7,1,0.14285714285714285
10,21,2,2,1.0
10,8,40,1,0.025
10,9,25,2,0.08
10,10,23,2,0.08695652173913043
10,13,4,0,0.0
10,12,6,0,0.0
10,14,3,0,0.0
10,18,1,0,0.0
