iter,utterance_length,nb_utterances,produced,production_score
1,2,1674,1674,1.0
1,5,379,92,0.24274406332453827
1,3,1267,963,0.7600631412786109
1,4,749,334,0.4459279038718291
1,7,75,6,0.08
1,6,165,25,0.15151515151515152
1,9,12,0,0.0
1,11,3,1,0.3333333333333333
1,8,26,2,0.07692307692307693
1,15,1,0,0.0
1,13,2,0,0.0
1,10,2,0,0.0
1,12,1,0,0.0
2,2,1585,1585,1.0
2,4,792,379,0.47853535353535354
2,3,1241,910,0.7332796132151491
2,7,93,7,0.07526881720430108
2,6,178,29,0.16292134831460675
2,5,375,81,0.216
2,14,1,0,0.0
2,8,21,1,0.047619047619047616
2,11,3,0,0.0
2,9,11,0,0.0
2,13,1,0,0.0
2,10,3,0,0.0
2,12,1,0,0.0
3,2,1642,1642,1.0
3,5,404,92,0.22772277227722773
3,3,1273,959,0.753338570306363
3,7,79,5,0.06329113924050633
3,4,734,337,0.4591280653950954
3,6,165,21,0.12727272727272726
3,10,3,0,0.0
3,11,2,0,0.0
3,8,25,0,0.0
3,9,12,1,0.08333333333333333
3,15,1,0,0.0
3,13,2,0,0.0
3,12,1,0,0.0
4,2,1618,1618,1.0
4,3,1290,951,0.7372093023255814
4,4,763,341,0.44692005242463956
4,7,86,5,0.05813953488372093
4,6,186,24,0.12903225806451613
4,5,401,85,0.2119700748129676
4,11,4,0,0.0
4,9,12,0,0.0
4,8,25,2,0.08
4,10,1,0,0.0
5,2,1623,1623,1.0
5,4,774,332,0.4289405684754522
5,3,1240,920,0.7419354838709677
5,7,85,9,0.10588235294117647
5,6,193,24,0.12435233160621761
5,5,399,86,0.21553884711779447
5,9,13,1,0.07692307692307693
5,8,26,2,0.07692307692307693
5,10,3,0,0.0
5,11,1,0,0.0
5,13,1,0,0.0
6,2,1636,1636,1.0
6,5,375,88,0.23466666666666666
6,4,777,357,0.4594594594594595
6,3,1223,932,0.7620605069501226
6,6,167,18,0.10778443113772455
6,7,75,6,0.08
6,11,3,2,0.6666666666666666
6,8,27,2,0.07407407407407407
6,9,13,3,0.23076923076923078
6,13,2,0,0.0
6,10,2,0,0.0
7,2,1651,1651,1.0
7,5,423,99,0.23404255319148937
7,4,778,325,0.41773778920308485
7,3,1272,967,0.7602201257861635
7,6,159,19,0.11949685534591195
7,10,1,0,0.0
7,14,1,0,0.0
7,7,74,1,0.013513513513513514
7,9,9,1,0.1111111111111111
7,8,27,1,0.037037037037037035
7,12,1,0,0.0
8,2,1686,1686,1.0
8,4,784,327,0.41709183673469385
8,3,1283,924,0.7201870615744349
8,6,178,20,0.11235955056179775
8,5,359,88,0.24512534818941503
8,14,1,0,0.0
8,11,4,1,0.25
8,7,71,2,0.028169014084507043
8,9,17,1,0.058823529411764705
8,8,23,1,0.043478260869565216
8,15,1,0,0.0
8,10,2,0,0.0
8,12,1,0,0.0
9,2,1676,1676,1.0
9,3,1326,984,0.7420814479638009
9,4,767,361,0.4706649282920469
9,6,167,18,0.10778443113772455
9,5,412,98,0.23786407766990292
9,7,76,3,0.039473684210526314
9,11,5,0,0.0
9,9,10,0,0.0
9,8,27,4,0.14814814814814814
9,15,1,0,0.0
9,10,1,0,0.0
9,13,1,0,0.0
10,2,1712,1712,1.0
10,4,778,361,0.4640102827763496
10,3,1249,912,0.7301841473178543
10,5,407,88,0.21621621621621623
10,6,161,15,0.09316770186335403
10,14,1,0,0.0
10,10,3,0,0.0
10,7,59,3,0.05084745762711865
10,9,10,1,0.1
10,11,3,0,0.0
10,8,21,2,0.09523809523809523
10,12,1,0,0.0
10,13,1,0,0.0
