iter,utterance_length,nb_utterances,produced,production_score
1,4,485,271,0.5587628865979382
1,3,1127,928,0.8234250221827861
1,2,1305,1305,1.0
1,5,188,58,0.30851063829787234
1,6,66,10,0.15151515151515152
1,7,38,5,0.13157894736842105
1,10,5,0,0.0
1,8,13,0,0.0
1,9,5,1,0.2
1,11,1,0,0.0
2,2,1293,1293,1.0
2,4,471,246,0.5222929936305732
2,3,1110,951,0.8567567567567568
2,5,191,81,0.42408376963350786
2,7,31,7,0.22580645161290322
2,6,69,21,0.30434782608695654
2,8,16,0,0.0
2,9,7,1,0.14285714285714285
2,11,1,0,0.0
2,10,2,0,0.0
2,12,1,0,0.0
3,4,438,247,0.5639269406392694
3,2,1306,1306,1.0
3,3,1072,875,0.816231343283582
3,5,186,63,0.3387096774193548
3,6,65,12,0.18461538461538463
3,7,39,5,0.1282051282051282
3,8,15,0,0.0
3,10,7,0,0.0
3,11,1,0,0.0
3,9,8,1,0.125
4,4,460,255,0.5543478260869565
4,2,1296,1296,1.0
4,3,1066,869,0.8151969981238274
4,5,191,63,0.3298429319371728
4,7,38,9,0.23684210526315788
4,6,63,14,0.2222222222222222
4,8,19,0,0.0
4,10,5,0,0.0
4,9,8,2,0.25
4,18,1,0,0.0
5,2,1275,1275,1.0
5,4,494,260,0.5263157894736842
5,3,1063,864,0.812793979303857
5,5,169,57,0.33727810650887574
5,6,73,18,0.2465753424657534
5,7,29,5,0.1724137931034483
5,8,9,0,0.0
5,9,7,0,0.0
5,10,2,0,0.0
5,18,1,0,0.0
6,4,475,267,0.5621052631578948
6,2,1286,1286,1.0
6,3,1041,857,0.8232468780019212
6,5,176,59,0.3352272727272727
6,6,62,18,0.2903225806451613
6,7,35,5,0.14285714285714285
6,8,9,0,0.0
6,9,10,1,0.1
6,11,1,0,0.0
6,10,3,0,0.0
6,12,1,0,0.0
7,2,1241,1241,1.0
7,3,1098,906,0.825136612021858
7,4,466,242,0.51931330472103
7,5,192,67,0.3489583333333333
7,6,61,13,0.21311475409836064
7,7,44,8,0.18181818181818182
7,10,5,0,0.0
7,8,9,0,0.0
7,11,1,0,0.0
7,9,7,0,0.0
8,4,443,245,0.5530474040632054
8,2,1331,1331,1.0
8,3,1085,890,0.8202764976958525
8,5,182,61,0.33516483516483514
8,7,40,6,0.15
8,6,66,14,0.21212121212121213
8,8,17,0,0.0
8,9,7,1,0.14285714285714285
8,10,3,0,0.0
8,18,1,0,0.0
9,2,1287,1287,1.0
9,3,1029,835,0.8114674441205053
9,6,70,14,0.2
9,5,195,69,0.35384615384615387
9,4,478,253,0.5292887029288703
9,7,33,8,0.24242424242424243
9,8,10,0,0.0
9,9,7,0,0.0
9,11,2,0,0.0
9,10,3,0,0.0
10,3,1069,874,0.8175865294667914
10,2,1329,1329,1.0
10,4,483,283,0.5859213250517599
10,5,194,61,0.31443298969072164
10,6,68,17,0.25
10,7,39,6,0.15384615384615385
10,8,11,0,0.0
10,9,7,1,0.14285714285714285
10,10,3,0,0.0
