iter,utterance_length,nb_utterances,produced,production_score
1,3,3758,3099,0.8246407663650878
1,4,3343,1890,0.5653604546814238
1,2,3212,3212,1.0
1,5,2268,840,0.37037037037037035
1,6,1357,287,0.21149594694178334
1,10,89,4,0.0449438202247191
1,7,691,101,0.14616497829232997
1,8,372,32,0.08602150537634409
1,9,168,8,0.047619047619047616
1,11,46,2,0.043478260869565216
1,12,33,4,0.12121212121212122
1,14,12,1,0.08333333333333333
1,15,9,0,0.0
1,13,16,0,0.0
1,16,4,1,0.25
1,18,1,0,0.0
1,17,4,0,0.0
1,23,1,0,0.0
1,21,2,0,0.0
1,30,2,0,0.0
2,2,3171,3171,1.0
2,3,3725,3069,0.8238926174496645
2,4,3294,1895,0.5752884031572556
2,5,2234,791,0.3540734109221128
2,10,93,4,0.043010752688172046
2,6,1279,272,0.21266614542611414
2,7,672,87,0.12946428571428573
2,9,156,4,0.02564102564102564
2,8,363,30,0.08264462809917356
2,11,60,2,0.03333333333333333
2,15,5,0,0.0
2,12,32,1,0.03125
2,19,2,0,0.0
2,13,17,1,0.058823529411764705
2,14,13,1,0.07692307692307693
2,20,2,0,0.0
2,18,3,0,0.0
2,16,4,0,0.0
2,17,2,0,0.0
2,22,1,0,0.0
2,30,2,0,0.0
3,2,3213,3213,1.0
3,3,3786,3105,0.8201267828843106
3,4,3350,1819,0.5429850746268656
3,5,2296,816,0.3554006968641115
3,7,670,102,0.15223880597014924
3,6,1327,276,0.2079879427279578
3,8,340,29,0.08529411764705883
3,9,173,5,0.028901734104046242
3,10,95,4,0.042105263157894736
3,11,45,2,0.044444444444444446
3,15,5,0,0.0
3,12,32,2,0.0625
3,20,1,0,0.0
3,19,2,0,0.0
3,18,4,0,0.0
3,17,3,0,0.0
3,14,8,0,0.0
3,13,14,0,0.0
3,16,2,0,0.0
3,30,1,0,0.0
4,2,3211,3211,1.0
4,3,3700,3038,0.8210810810810811
4,4,3284,1843,0.5612058465286236
4,5,2233,811,0.3631885356023287
4,7,694,99,0.14265129682997119
4,6,1286,295,0.22939346811819597
4,8,357,26,0.07282913165266107
4,9,176,5,0.028409090909090908
4,10,88,8,0.09090909090909091
4,12,33,2,0.06060606060606061
4,11,56,1,0.017857142857142856
4,13,21,1,0.047619047619047616
4,16,6,1,0.16666666666666666
4,15,5,0,0.0
4,14,12,1,0.08333333333333333
4,17,2,0,0.0
4,22,1,0,0.0
4,23,1,0,0.0
4,30,1,0,0.0
4,21,1,0,0.0
5,2,3246,3246,1.0
5,3,3748,3123,0.8332443970117396
5,4,3291,1902,0.577939835916135
5,5,2230,846,0.379372197309417
5,6,1296,275,0.21219135802469136
5,7,684,102,0.14912280701754385
5,8,385,34,0.08831168831168831
5,10,102,6,0.058823529411764705
5,9,154,8,0.05194805194805195
5,15,8,0,0.0
5,11,51,0,0.0
5,12,35,3,0.08571428571428572
5,20,2,0,0.0
5,13,12,0,0.0
5,16,5,1,0.2
5,14,7,1,0.14285714285714285
5,18,3,0,0.0
5,17,4,0,0.0
5,22,1,0,0.0
5,30,2,0,0.0
6,2,3210,3210,1.0
6,3,3748,3058,0.8159018143009605
6,4,3304,1867,0.5650726392251816
6,5,2243,803,0.3580026749888542
6,6,1275,284,0.2227450980392157
6,10,86,5,0.05813953488372093
6,8,347,27,0.07780979827089338
6,7,650,85,0.13076923076923078
6,9,177,9,0.05084745762711865
6,15,9,0,0.0
6,11,52,3,0.057692307692307696
6,12,34,5,0.14705882352941177
6,13,12,1,0.08333333333333333
6,14,11,0,0.0
6,19,1,0,0.0
6,16,3,0,0.0
6,17,2,0,0.0
6,22,1,0,0.0
6,21,1,0,0.0
6,30,1,0,0.0
7,2,3246,3246,1.0
7,3,3733,3072,0.8229306188052504
7,4,3314,1876,0.5660832830416416
7,5,2251,810,0.3598400710795202
7,10,94,3,0.031914893617021274
7,6,1254,296,0.23604465709728867
7,7,692,102,0.14739884393063585
7,8,328,31,0.09451219512195122
7,9,163,5,0.03067484662576687
7,11,61,3,0.04918032786885246
7,12,32,3,0.09375
7,19,1,0,0.0
7,15,10,0,0.0
7,14,9,0,0.0
7,13,8,0,0.0
7,16,2,0,0.0
7,17,2,0,0.0
7,18,2,0,0.0
7,22,1,0,0.0
7,23,1,0,0.0
7,21,3,0,0.0
7,30,1,0,0.0
7,20,1,0,0.0
8,2,3118,3118,1.0
8,3,3693,3033,0.8212835093419983
8,4,3288,1838,0.5590024330900243
8,6,1313,302,0.23000761614623
8,5,2248,794,0.35320284697508897
8,10,87,3,0.034482758620689655
8,7,668,86,0.12874251497005987
8,8,360,37,0.10277777777777777
8,9,186,8,0.043010752688172046
8,11,56,5,0.08928571428571429
8,12,33,3,0.09090909090909091
8,13,18,1,0.05555555555555555
8,14,9,0,0.0
8,15,6,0,0.0
8,20,2,0,0.0
8,19,1,0,0.0
