iter,utterance_length,nb_utterances,produced,production_score
1,2,1906,1906,1.0
1,3,1659,1349,0.8131404460518384
1,7,329,29,0.08814589665653495
1,9,137,11,0.08029197080291971
1,4,1229,596,0.48494711147274205
1,16,14,2,0.14285714285714285
1,5,859,227,0.26426076833527357
1,8,223,13,0.05829596412556054
1,6,541,47,0.08687615526802218
1,10,88,5,0.056818181818181816
1,15,25,1,0.04
1,23,2,0,0.0
1,11,76,2,0.02631578947368421
1,12,46,4,0.08695652173913043
1,13,28,1,0.03571428571428571
1,14,21,2,0.09523809523809523
1,18,5,0,0.0
1,19,7,1,0.14285714285714285
1,17,10,0,0.0
1,28,2,0,0.0
1,35,1,0,0.0
1,24,3,0,0.0
1,21,4,0,0.0
1,22,2,0,0.0
1,25,1,0,0.0
1,26,2,0,0.0
1,20,2,0,0.0
2,2,1953,1953,1.0
2,7,365,32,0.08767123287671233
2,3,1605,1319,0.8218068535825546
2,9,155,12,0.07741935483870968
2,12,46,6,0.13043478260869565
2,4,1236,599,0.48462783171521034
2,5,855,213,0.24912280701754386
2,8,224,18,0.08035714285714286
2,6,517,57,0.1102514506769826
2,16,13,3,0.23076923076923078
2,10,92,7,0.07608695652173914
2,11,68,2,0.029411764705882353
2,14,31,2,0.06451612903225806
2,18,4,0,0.0
2,13,34,0,0.0
2,20,3,0,0.0
2,15,17,0,0.0
2,19,5,1,0.2
2,17,10,1,0.1
2,32,1,0,0.0
2,21,7,0,0.0
2,35,1,0,0.0
2,24,2,0,0.0
2,22,2,0,0.0
2,23,2,0,0.0
2,25,2,0,0.0
2,43,1,0,0.0
2,26,1,0,0.0
2,30,1,0,0.0
2,28,1,0,0.0
3,2,1870,1870,1.0
3,3,1641,1349,0.8220597196831201
3,7,332,22,0.06626506024096386
3,4,1263,610,0.4829770387965162
3,12,45,6,0.13333333333333333
3,5,871,220,0.2525832376578645
3,8,228,14,0.06140350877192982
3,6,545,52,0.09541284403669725
3,10,75,5,0.06666666666666667
3,9,142,8,0.056338028169014086
3,16,18,1,0.05555555555555555
3,15,25,1,0.04
3,14,30,4,0.13333333333333333
3,11,69,1,0.014492753623188406
3,13,35,2,0.05714285714285714
3,20,3,0,0.0
3,18,5,0,0.0
3,19,7,1,0.14285714285714285
3,17,10,0,0.0
3,33,1,0,0.0
3,24,4,0,0.0
3,27,3,0,0.0
3,21,5,0,0.0
3,28,2,0,0.0
3,23,1,0,0.0
3,25,2,0,0.0
3,26,1,0,0.0
3,30,1,0,0.0
3,22,1,0,0.0
