iter,utterance_length,nb_utterances,produced,production_score
1,2,1514,1514,1.0
1,3,1062,892,0.839924670433145
1,4,656,368,0.5609756097560976
1,5,330,103,0.31212121212121213
1,7,103,14,0.13592233009708737
1,6,173,25,0.14450867052023122
1,8,47,0,0.0
1,9,28,1,0.03571428571428571
1,12,4,1,0.25
1,11,6,1,0.16666666666666666
1,10,9,0,0.0
1,15,1,1,1.0
1,13,1,0,0.0
2,2,1458,1458,1.0
2,3,1098,922,0.8397085610200364
2,4,681,405,0.5947136563876652
2,5,331,108,0.32628398791540786
2,6,178,32,0.1797752808988764
2,9,28,3,0.10714285714285714
2,7,90,10,0.1111111111111111
2,8,58,5,0.08620689655172414
2,10,13,1,0.07692307692307693
2,11,4,0,0.0
2,13,2,0,0.0
2,14,4,0,0.0
2,12,1,0,0.0
3,2,1481,1481,1.0
3,3,1112,915,0.822841726618705
3,4,650,372,0.5723076923076923
3,5,369,123,0.3333333333333333
3,6,167,28,0.16766467065868262
3,7,98,12,0.12244897959183673
3,8,68,1,0.014705882352941176
3,9,27,2,0.07407407407407407
3,11,7,0,0.0
3,10,15,2,0.13333333333333333
3,13,1,0,0.0
3,15,1,1,1.0
3,12,3,0,0.0
3,14,2,0,0.0
4,2,1436,1436,1.0
4,3,1086,887,0.8167587476979742
4,4,655,351,0.5358778625954198
4,5,337,106,0.314540059347181
4,7,103,12,0.11650485436893204
4,6,178,27,0.15168539325842698
4,8,50,2,0.04
4,9,29,1,0.034482758620689655
4,11,9,0,0.0
4,10,10,1,0.1
4,12,3,0,0.0
4,13,2,0,0.0
5,2,1462,1462,1.0
5,3,1121,935,0.8340767172167708
5,4,687,391,0.5691411935953421
5,5,376,118,0.31382978723404253
5,6,167,28,0.16766467065868262
5,7,101,9,0.0891089108910891
5,8,67,2,0.029850746268656716
5,9,32,2,0.0625
5,12,1,1,1.0
5,11,8,0,0.0
5,10,14,3,0.21428571428571427
5,13,2,0,0.0
5,15,1,0,0.0
5,14,1,0,0.0
6,2,1468,1468,1.0
6,3,1131,910,0.8045977011494253
6,4,687,387,0.5633187772925764
6,5,351,103,0.2934472934472934
6,6,163,28,0.17177914110429449
6,7,105,8,0.0761904761904762
6,8,53,0,0.0
6,9,27,0,0.0
6,12,2,1,0.5
6,10,9,0,0.0
6,13,2,0,0.0
6,11,5,0,0.0
6,15,1,1,1.0
6,17,1,0,0.0
6,14,1,0,0.0
7,2,1501,1501,1.0
7,3,1085,903,0.832258064516129
7,4,671,379,0.5648286140089419
7,5,348,109,0.3132183908045977
7,9,30,1,0.03333333333333333
7,6,153,30,0.19607843137254902
7,7,95,11,0.11578947368421053
7,8,52,3,0.057692307692307696
7,10,15,1,0.06666666666666667
7,11,9,0,0.0
7,13,3,0,0.0
7,12,2,0,0.0
7,14,2,0,0.0
8,2,1471,1471,1.0
8,3,1151,967,0.840139009556907
8,4,682,392,0.5747800586510264
8,5,366,113,0.3087431693989071
8,6,165,32,0.19393939393939394
8,7,110,13,0.11818181818181818
8,9,35,0,0.0
8,8,47,2,0.0425531914893617
8,12,4,0,0.0
8,11,4,0,0.0
8,10,10,1,0.1
8,13,1,0,0.0
8,14,1,0,0.0
9,2,1448,1448,1.0
9,3,1122,928,0.8270944741532977
9,4,691,392,0.5672937771345875
9,5,335,112,0.33432835820895523
9,6,180,36,0.2
9,9,26,1,0.038461538461538464
9,7,99,10,0.10101010101010101
9,8,67,4,0.05970149253731343
9,11,9,0,0.0
9,13,1,0,0.0
9,14,1,0,0.0
9,10,11,0,0.0
9,12,3,0,0.0
10,2,1398,1398,1.0
10,3,1097,906,0.8258887876025525
10,4,674,386,0.5727002967359051
10,5,358,119,0.3324022346368715
10,6,160,36,0.225
10,8,54,4,0.07407407407407407
10,7,110,11,0.1
10,9,26,1,0.038461538461538464
10,11,7,0,0.0
10,10,12,1,0.08333333333333333
10,14,1,0,0.0
10,12,1,0,0.0
