iter,utterance_length,nb_utterances,produced,production_score
1,2,625,625,1.0
1,6,276,46,0.16666666666666666
1,4,452,275,0.6084070796460177
1,3,570,498,0.8736842105263158
1,5,352,107,0.3039772727272727
1,7,220,23,0.10454545454545454
1,8,141,5,0.03546099290780142
1,9,114,4,0.03508771929824561
1,12,42,1,0.023809523809523808
1,13,27,2,0.07407407407407407
1,11,61,6,0.09836065573770492
1,16,14,1,0.07142857142857142
1,15,25,0,0.0
1,18,8,0,0.0
1,10,76,1,0.013157894736842105
1,14,17,0,0.0
1,17,9,0,0.0
1,19,5,0,0.0
1,20,4,0,0.0
1,36,1,0,0.0
1,22,6,0,0.0
1,29,3,0,0.0
1,21,6,0,0.0
1,27,3,0,0.0
1,25,1,0,0.0
1,49,1,0,0.0
1,55,2,0,0.0
1,41,1,0,0.0
1,28,3,0,0.0
1,63,1,0,0.0
1,23,2,0,0.0
1,32,1,0,0.0
1,34,1,0,0.0
1,31,1,0,0.0
1,24,1,0,0.0
1,64,1,0,0.0
1,38,3,0,0.0
1,33,1,0,0.0
1,37,1,0,0.0
1,39,1,0,0.0
1,26,3,0,0.0
1,48,1,0,0.0
2,6,268,50,0.1865671641791045
2,4,465,292,0.6279569892473118
2,2,630,630,1.0
2,3,550,471,0.8563636363636363
2,5,336,99,0.29464285714285715
2,7,224,24,0.10714285714285714
2,13,31,2,0.06451612903225806
2,8,119,4,0.03361344537815126
2,9,105,8,0.0761904761904762
2,11,63,4,0.06349206349206349
2,16,12,0,0.0
2,12,44,3,0.06818181818181818
2,18,13,1,0.07692307692307693
2,10,82,5,0.06097560975609756
2,14,23,1,0.043478260869565216
2,15,25,3,0.12
2,20,6,0,0.0
2,17,8,0,0.0
2,45,2,0,0.0
2,21,7,0,0.0
2,23,5,0,0.0
2,25,4,0,0.0
2,49,1,0,0.0
2,31,1,0,0.0
2,19,7,1,0.14285714285714285
2,55,1,1,1.0
2,22,4,1,0.25
2,63,1,0,0.0
2,26,5,0,0.0
2,34,3,0,0.0
2,28,2,0,0.0
2,33,2,0,0.0
2,40,1,1,1.0
2,29,1,0,0.0
2,24,2,0,0.0
2,64,1,0,0.0
2,37,1,0,0.0
2,38,1,0,0.0
2,41,1,0,0.0
2,30,1,0,0.0
2,39,1,0,0.0
2,27,2,0,0.0
2,80,1,0,0.0
3,2,658,658,1.0
3,3,576,496,0.8611111111111112
3,6,249,34,0.13654618473895583
3,4,446,278,0.6233183856502242
3,5,343,119,0.3469387755102041
3,9,93,3,0.03225806451612903
3,8,148,6,0.04054054054054054
3,7,222,17,0.07657657657657657
3,11,70,4,0.05714285714285714
3,12,52,2,0.038461538461538464
3,15,20,0,0.0
3,16,17,0,0.0
3,10,74,4,0.05405405405405406
3,18,9,0,0.0
3,14,22,1,0.045454545454545456
3,13,30,1,0.03333333333333333
3,22,4,0,0.0
3,29,3,0,0.0
3,20,4,0,0.0
3,27,1,0,0.0
3,21,5,0,0.0
3,23,9,0,0.0
3,49,1,0,0.0
3,17,13,0,0.0
3,55,1,0,0.0
3,19,10,0,0.0
3,25,3,0,0.0
3,34,1,0,0.0
3,33,1,0,0.0
3,24,3,0,0.0
3,31,1,0,0.0
3,64,1,0,0.0
3,37,2,0,0.0
3,38,3,0,0.0
3,30,1,0,0.0
3,26,1,0,0.0
4,2,642,642,1.0
4,3,554,484,0.8736462093862816
4,6,266,43,0.16165413533834586
4,7,221,21,0.09502262443438914
4,5,340,108,0.3176470588235294
4,4,438,280,0.639269406392694
4,9,103,7,0.06796116504854369
4,8,129,5,0.03875968992248062
4,11,61,3,0.04918032786885246
4,12,40,1,0.025
4,15,28,4,0.14285714285714285
4,10,61,2,0.03278688524590164
4,17,19,0,0.0
4,18,12,1,0.08333333333333333
4,13,30,1,0.03333333333333333
4,20,8,0,0.0
4,22,3,1,0.3333333333333333
4,14,18,1,0.05555555555555555
4,19,9,0,0.0
4,35,1,1,1.0
4,23,5,0,0.0
4,16,13,1,0.07692307692307693
4,55,1,0,0.0
4,32,2,0,0.0
4,25,3,0,0.0
4,28,2,0,0.0
4,26,3,0,0.0
4,21,5,0,0.0
4,56,1,0,0.0
4,30,2,0,0.0
4,31,1,0,0.0
4,27,3,1,0.3333333333333333
4,38,2,0,0.0
4,33,1,0,0.0
4,48,1,0,0.0
4,24,1,0,0.0
5,2,617,617,1.0
5,4,438,277,0.632420091324201
5,3,572,487,0.8513986013986014
5,6,258,38,0.14728682170542637
5,7,227,13,0.05726872246696035
5,8,153,8,0.05228758169934641
5,5,350,124,0.35428571428571426
5,9,115,2,0.017391304347826087
5,11,57,4,0.07017543859649122
5,15,19,3,0.15789473684210525
5,18,11,1,0.09090909090909091
5,10,66,5,0.07575757575757576
5,14,23,1,0.043478260869565216
5,17,14,0,0.0
5,16,17,0,0.0
5,12,49,2,0.04081632653061224
5,20,5,0,0.0
5,32,2,0,0.0
5,22,6,1,0.16666666666666666
5,13,22,0,0.0
5,21,7,0,0.0
5,27,6,1,0.16666666666666666
5,19,12,0,0.0
5,23,7,0,0.0
5,25,4,0,0.0
5,31,1,0,0.0
5,55,1,0,0.0
5,41,1,0,0.0
5,26,2,0,0.0
5,33,1,0,0.0
5,29,1,0,0.0
5,34,1,0,0.0
5,37,1,0,0.0
5,38,1,0,0.0
5,30,1,0,0.0
5,45,1,0,0.0
5,48,1,0,0.0
5,80,1,0,0.0
6,6,268,38,0.1417910447761194
6,2,640,640,1.0
6,4,451,291,0.6452328159645233
6,3,546,477,0.8736263736263736
6,5,310,99,0.3193548387096774
6,7,220,21,0.09545454545454546
6,13,26,1,0.038461538461538464
6,9,108,4,0.037037037037037035
6,8,152,6,0.039473684210526314
6,12,38,2,0.05263157894736842
6,15,22,1,0.045454545454545456
6,16,20,0,0.0
6,18,14,0,0.0
6,10,82,3,0.036585365853658534
6,11,49,3,0.061224489795918366
6,17,12,0,0.0
6,19,11,1,0.09090909090909091
6,20,8,0,0.0
6,14,20,2,0.1
6,29,2,0,0.0
6,27,4,0,0.0
6,34,1,0,0.0
6,31,1,0,0.0
6,55,2,0,0.0
6,22,3,0,0.0
6,26,5,0,0.0
6,21,5,0,0.0
6,33,1,0,0.0
6,23,5,0,0.0
6,32,1,0,0.0
6,25,1,0,0.0
6,24,2,0,0.0
6,30,2,0,0.0
6,64,1,0,0.0
6,38,2,0,0.0
6,37,2,0,0.0
6,41,2,0,0.0
6,45,1,0,0.0
6,48,1,0,0.0
7,2,635,635,1.0
7,4,438,271,0.6187214611872146
7,3,599,517,0.8631051752921536
7,5,331,104,0.31419939577039274
7,6,255,40,0.1568627450980392
7,8,159,10,0.06289308176100629
7,13,33,3,0.09090909090909091
7,7,216,23,0.10648148148148148
7,12,46,0,0.0
7,15,31,4,0.12903225806451613
7,16,18,0,0.0
7,9,102,4,0.0392156862745098
7,10,72,4,0.05555555555555555
7,11,63,5,0.07936507936507936
7,18,10,0,0.0
7,17,10,0,0.0
7,19,10,0,0.0
7,20,6,0,0.0
7,14,20,0,0.0
7,21,5,0,0.0
7,27,3,0,0.0
7,23,7,0,0.0
7,34,2,0,0.0
7,49,1,0,0.0
7,31,1,0,0.0
7,55,2,0,0.0
7,25,3,0,0.0
7,22,3,1,0.3333333333333333
7,41,1,0,0.0
7,28,1,0,0.0
7,26,2,0,0.0
7,24,2,0,0.0
7,33,1,0,0.0
7,37,2,0,0.0
7,30,1,0,0.0
7,39,1,0,0.0
8,2,637,637,1.0
8,3,570,500,0.8771929824561403
8,5,332,113,0.34036144578313254
8,4,443,260,0.5869074492099323
8,8,153,8,0.05228758169934641
8,6,286,55,0.19230769230769232
8,7,211,15,0.07109004739336493
8,13,30,1,0.03333333333333333
8,9,106,7,0.0660377358490566
8,12,35,1,0.02857142857142857
8,16,15,0,0.0
8,15,19,2,0.10526315789473684
8,10,88,3,0.03409090909090909
8,11,55,2,0.03636363636363636
8,17,17,0,0.0
8,18,5,0,0.0
8,14,21,2,0.09523809523809523
8,32,1,0,0.0
8,22,2,0,0.0
8,36,1,0,0.0
8,19,10,1,0.1
8,27,3,0,0.0
8,23,8,0,0.0
8,25,5,0,0.0
8,31,1,0,0.0
8,41,2,0,0.0
8,28,2,0,0.0
8,63,1,0,0.0
8,26,3,0,0.0
8,56,1,0,0.0
8,21,7,1,0.14285714285714285
8,20,3,0,0.0
8,40,1,1,1.0
8,55,1,0,0.0
8,24,1,0,0.0
8,34,1,0,0.0
8,38,2,0,0.0
8,30,1,0,0.0
8,39,1,0,0.0
8,29,1,0,0.0
9,2,605,605,1.0
9,6,265,44,0.1660377358490566
9,3,555,483,0.8702702702702703
9,5,308,90,0.2922077922077922
9,4,450,284,0.6311111111111111
9,8,142,5,0.035211267605633804
9,13,34,1,0.029411764705882353
9,9,109,5,0.045871559633027525
9,11,68,4,0.058823529411764705
9,12,46,1,0.021739130434782608
9,7,208,16,0.07692307692307693
9,16,10,0,0.0
9,10,81,4,0.04938271604938271
9,17,14,0,0.0
9,18,9,0,0.0
9,15,16,2,0.125
9,19,9,1,0.1111111111111111
9,45,1,0,0.0
9,14,18,1,0.05555555555555555
9,36,1,0,0.0
9,22,7,1,0.14285714285714285
9,20,5,0,0.0
9,27,6,1,0.16666666666666666
