iter,utterance_length,nb_utterances,produced,production_score
1,2,167,167,1.0
1,3,230,198,0.8608695652173913
1,7,96,8,0.08333333333333333
1,5,160,39,0.24375
1,4,197,97,0.49238578680203043
1,10,18,4,0.2222222222222222
1,8,85,8,0.09411764705882353
1,6,131,14,0.10687022900763359
1,14,4,1,0.25
1,9,28,0,0.0
1,15,2,0,0.0
1,11,12,0,0.0
1,13,6,1,0.16666666666666666
1,16,2,0,0.0
1,12,6,0,0.0
1,17,3,1,0.3333333333333333
2,2,173,173,1.0
2,3,233,195,0.8369098712446352
2,4,195,95,0.48717948717948717
2,7,90,5,0.05555555555555555
2,5,164,38,0.23170731707317074
2,18,1,0,0.0
2,11,17,3,0.17647058823529413
2,13,5,0,0.0
2,8,73,3,0.0410958904109589
2,6,128,13,0.1015625
2,12,5,0,0.0
2,14,6,1,0.16666666666666666
2,9,34,3,0.08823529411764706
2,15,3,0,0.0
2,10,20,1,0.05
2,16,1,0,0.0
2,19,2,0,0.0
2,17,3,0,0.0
3,3,220,182,0.8272727272727273
3,4,186,90,0.4838709677419355
3,7,97,9,0.09278350515463918
3,5,153,43,0.28104575163398693
3,13,9,0,0.0
3,8,79,7,0.08860759493670886
3,2,161,161,1.0
3,6,118,19,0.16101694915254236
3,14,6,1,0.16666666666666666
3,9,45,2,0.044444444444444446
3,15,3,0,0.0
3,11,11,0,0.0
3,10,16,3,0.1875
3,16,1,0,0.0
3,19,1,0,0.0
3,12,3,0,0.0
3,17,1,0,0.0
3,20,1,0,0.0
4,2,151,151,1.0
4,4,206,105,0.5097087378640777
4,3,247,206,0.8340080971659919
4,7,103,7,0.06796116504854369
4,5,168,31,0.18452380952380953
4,8,71,6,0.08450704225352113
4,9,38,0,0.0
4,6,123,19,0.15447154471544716
4,14,8,1,0.125
4,11,14,2,0.14285714285714285
4,10,13,0,0.0
4,15,3,0,0.0
4,13,4,0,0.0
4,19,2,0,0.0
4,20,1,0,0.0
4,17,1,0,0.0
4,12,3,0,0.0
5,2,158,158,1.0
5,3,260,214,0.823076923076923
5,7,92,7,0.07608695652173914
5,5,186,49,0.26344086021505375
5,4,180,94,0.5222222222222223
5,10,17,3,0.17647058823529413
5,18,1,0,0.0
5,13,5,0,0.0
5,9,44,3,0.06818181818181818
5,8,68,5,0.07352941176470588
5,14,4,0,0.0
5,6,120,15,0.125
5,16,1,0,0.0
5,12,2,0,0.0
5,11,13,2,0.15384615384615385
5,15,2,0,0.0
5,19,1,0,0.0
5,17,3,1,0.3333333333333333
5,20,1,0,0.0
6,2,150,150,1.0
6,3,257,214,0.8326848249027238
6,4,200,113,0.565
6,5,160,42,0.2625
6,6,125,16,0.128
6,9,27,3,0.1111111111111111
6,8,71,6,0.08450704225352113
6,14,5,1,0.2
6,7,98,9,0.09183673469387756
6,16,2,0,0.0
6,12,6,0,0.0
6,11,17,2,0.11764705882352941
6,13,7,1,0.14285714285714285
6,10,15,3,0.2
6,19,1,0,0.0
6,37,1,0,0.0
6,17,1,0,0.0
6,15,1,0,0.0
6,20,1,0,0.0
7,2,161,161,1.0
7,3,224,174,0.7767857142857143
7,4,197,115,0.583756345177665
7,5,146,33,0.22602739726027396
7,7,82,5,0.06097560975609756
7,18,1,0,0.0
7,11,19,2,0.10526315789473684
7,13,10,1,0.1
7,9,31,2,0.06451612903225806
7,8,75,6,0.08
7,6,128,12,0.09375
7,14,5,0,0.0
7,16,2,0,0.0
7,10,19,2,0.10526315789473684
7,15,3,0,0.0
7,12,6,0,0.0
7,19,1,0,0.0
7,17,3,0,0.0
7,20,1,0,0.0
8,2,165,165,1.0
8,3,247,204,0.8259109311740891
8,7,92,9,0.09782608695652174
8,4,193,96,0.49740932642487046
8,11,14,2,0.14285714285714285
8,5,163,38,0.2331288343558282
8,8,63,2,0.031746031746031744
8,6,109,14,0.12844036697247707
8,14,5,1,0.2
8,16,1,0,0.0
8,10,21,3,0.14285714285714285
8,15,3,0,0.0
8,9,41,3,0.07317073170731707
8,13,6,0,0.0
8,12,4,0,0.0
8,37,1,0,0.0
8,17,2,0,0.0
9,5,167,40,0.23952095808383234
9,4,190,109,0.5736842105263158
9,10,20,3,0.15
9,18,1,0,0.0
9,2,158,158,1.0
9,7,98,12,0.12244897959183673
9,8,80,9,0.1125
9,3,239,194,0.8117154811715481
9,6,122,11,0.09016393442622951
9,16,1,0,0.0
9,11,11,3,0.2727272727272727
9,14,4,1,0.25
9,15,3,0,0.0
9,9,35,0,0.0
9,13,5,0,0.0
9,37,1,0,0.0
9,12,4,0,0.0
9,20,1,0,0.0
10,2,171,171,1.0
10,4,203,110,0.541871921182266
10,3,249,200,0.8032128514056225
10,10,20,3,0.15
10,18,1,0,0.0
10,5,172,46,0.26744186046511625
10,13,9,1,0.1111111111111111
10,6,125,12,0.096
10,14,7,0,0.0
10,7,100,7,0.07
10,11,13,1,0.07692307692307693
10,8,74,5,0.06756756756756757
10,9,43,3,0.06976744186046512
10,15,1,0,0.0
10,19,1,0,0.0
10,12,5,0,0.0
10,20,2,0,0.0
10,37,1,0,0.0
10,17,2,0,0.0
10,16,1,0,0.0
