iter,utterance_length,nb_utterances,produced,production_score
1,3,1273,1047,0.8224666142969363
1,4,721,384,0.5325936199722607
1,5,391,92,0.23529411764705882
1,2,1608,1608,1.0
1,6,187,16,0.0855614973262032
1,9,31,1,0.03225806451612903
1,13,7,0,0.0
1,8,51,3,0.058823529411764705
1,12,4,1,0.25
1,7,95,10,0.10526315789473684
1,10,18,0,0.0
1,11,16,0,0.0
1,14,4,0,0.0
1,17,3,1,0.3333333333333333
1,18,2,0,0.0
1,15,3,0,0.0
1,16,1,0,0.0
1,22,2,1,0.5
1,19,1,0,0.0
1,38,1,0,0.0
1,23,1,0,0.0
2,3,1205,993,0.8240663900414937
2,4,730,401,0.5493150684931507
2,2,1655,1655,1.0
2,7,82,8,0.0975609756097561
2,5,374,104,0.27807486631016043
2,6,215,25,0.11627906976744186
2,13,4,0,0.0
2,9,41,1,0.024390243902439025
2,8,52,4,0.07692307692307693
2,12,4,1,0.25
2,10,16,3,0.1875
2,18,1,0,0.0
2,11,11,0,0.0
2,17,1,0,0.0
2,16,1,0,0.0
2,22,3,1,0.3333333333333333
2,15,1,0,0.0
2,19,1,0,0.0
2,14,1,0,0.0
3,4,734,394,0.5367847411444142
3,5,367,94,0.2561307901907357
3,3,1304,1125,0.8627300613496932
3,2,1591,1591,1.0
3,7,87,3,0.034482758620689655
3,9,34,0,0.0
3,8,58,6,0.10344827586206896
3,12,5,1,0.2
3,6,202,29,0.14356435643564355
3,13,3,0,0.0
3,11,15,2,0.13333333333333333
3,14,6,1,0.16666666666666666
3,18,2,0,0.0
3,10,12,1,0.08333333333333333
3,17,4,1,0.25
3,16,2,0,0.0
3,20,1,1,1.0
3,21,1,0,0.0
3,22,3,2,0.6666666666666666
3,19,1,0,0.0
4,3,1267,1049,0.8279400157853196
4,2,1573,1573,1.0
4,4,710,365,0.5140845070422535
4,6,183,36,0.19672131147540983
4,5,403,115,0.2853598014888337
4,9,33,0,0.0
4,11,13,1,0.07692307692307693
4,8,56,5,0.08928571428571429
4,7,93,7,0.07526881720430108
4,10,17,1,0.058823529411764705
4,19,2,0,0.0
4,13,4,1,0.25
4,12,7,0,0.0
4,17,3,1,0.3333333333333333
4,16,1,0,0.0
4,18,1,0,0.0
4,14,4,0,0.0
4,20,1,1,1.0
4,22,3,1,0.3333333333333333
4,23,1,0,0.0
5,5,369,101,0.27371273712737126
5,2,1590,1590,1.0
5,3,1317,1103,0.8375094912680334
5,4,733,383,0.5225102319236017
5,9,36,1,0.027777777777777776
5,12,9,2,0.2222222222222222
5,7,83,6,0.07228915662650602
5,6,189,24,0.12698412698412698
5,10,17,0,0.0
5,11,8,2,0.25
5,8,43,4,0.09302325581395349
5,13,4,1,0.25
5,14,5,2,0.4
5,17,3,1,0.3333333333333333
5,21,1,0,0.0
5,16,1,0,0.0
5,15,2,0,0.0
5,19,1,0,0.0
5,38,1,0,0.0
5,22,1,1,1.0
5,23,1,0,0.0
6,3,1265,1069,0.8450592885375494
6,5,370,100,0.2702702702702703
6,7,90,8,0.08888888888888889
6,4,698,376,0.5386819484240688
6,2,1635,1635,1.0
6,11,13,4,0.3076923076923077
6,6,179,28,0.1564245810055866
6,8,54,4,0.07407407407407407
6,9,34,0,0.0
6,10,24,1,0.041666666666666664
6,13,6,1,0.16666666666666666
6,16,2,0,0.0
6,18,1,0,0.0
6,14,3,1,0.3333333333333333
6,20,1,1,1.0
6,15,2,0,0.0
6,12,2,0,0.0
6,22,3,1,0.3333333333333333
7,4,717,392,0.5467224546722455
7,2,1643,1643,1.0
7,3,1240,1016,0.8193548387096774
7,5,375,84,0.224
7,13,9,2,0.2222222222222222
7,7,90,3,0.03333333333333333
7,6,195,27,0.13846153846153847
7,9,39,1,0.02564102564102564
7,8,53,4,0.07547169811320754
7,18,4,0,0.0
7,12,7,0,0.0
7,14,5,1,0.2
7,11,13,1,0.07692307692307693
7,10,18,1,0.05555555555555555
7,17,4,1,0.25
7,20,1,1,1.0
7,21,1,0,0.0
7,16,1,0,0.0
7,22,2,1,0.5
7,15,2,0,0.0
7,19,1,0,0.0
7,38,1,0,0.0
7,23,1,0,0.0
8,4,724,409,0.5649171270718232
8,2,1674,1674,1.0
8,3,1322,1078,0.8154311649016641
8,5,376,94,0.25
8,6,188,28,0.14893617021276595
8,9,40,1,0.025
8,11,18,4,0.2222222222222222
8,7,77,5,0.06493506493506493
8,10,20,0,0.0
8,8,49,3,0.061224489795918366
8,13,5,1,0.2
