iter,utterance_length,nb_utterances,produced,production_score
1,5,413,105,0.2542372881355932
1,2,1053,1053,1.0
1,3,1066,923,0.8658536585365854
1,7,141,12,0.0851063829787234
1,4,692,372,0.5375722543352601
1,6,227,20,0.0881057268722467
1,9,46,4,0.08695652173913043
1,11,21,0,0.0
1,8,94,8,0.0851063829787234
1,14,6,2,0.3333333333333333
1,13,6,1,0.16666666666666666
1,10,34,1,0.029411764705882353
1,12,16,0,0.0
1,15,7,0,0.0
1,30,1,0,0.0
1,17,4,0,0.0
1,16,3,0,0.0
1,18,2,1,0.5
1,29,1,0,0.0
2,2,1043,1043,1.0
2,3,1102,978,0.8874773139745916
2,4,677,353,0.5214180206794683
2,7,127,15,0.11811023622047244
2,5,415,109,0.26265060240963856
2,12,12,0,0.0
2,6,236,19,0.08050847457627118
2,8,74,1,0.013513513513513514
2,11,17,0,0.0
2,14,3,0,0.0
2,10,32,2,0.0625
2,9,61,6,0.09836065573770492
2,17,5,0,0.0
2,15,7,0,0.0
2,13,7,1,0.14285714285714285
2,20,1,0,0.0
2,16,4,0,0.0
2,35,1,0,0.0
2,18,2,0,0.0
3,3,1112,970,0.8723021582733813
3,2,1051,1051,1.0
3,7,147,11,0.07482993197278912
3,5,420,105,0.25
3,4,686,383,0.5583090379008746
3,6,245,20,0.08163265306122448
3,9,66,5,0.07575757575757576
3,8,84,3,0.03571428571428571
3,14,6,1,0.16666666666666666
3,11,18,0,0.0
3,10,33,2,0.06060606060606061
3,12,13,0,0.0
3,28,1,1,1.0
3,17,2,0,0.0
3,15,10,0,0.0
3,13,6,0,0.0
3,16,3,0,0.0
3,35,1,0,0.0
3,21,1,0,0.0
3,20,1,0,0.0
3,18,2,1,0.5
3,29,1,0,0.0
4,3,1081,930,0.8603145235892692
4,2,1029,1029,1.0
4,7,141,9,0.06382978723404255
4,4,623,337,0.5409309791332263
4,5,417,92,0.22062350119904076
4,6,226,26,0.11504424778761062
4,9,61,5,0.08196721311475409
4,8,78,3,0.038461538461538464
4,12,16,0,0.0
4,13,3,0,0.0
4,11,25,2,0.08
4,14,6,1,0.16666666666666666
4,10,33,5,0.15151515151515152
4,28,1,1,1.0
4,17,4,0,0.0
4,15,8,0,0.0
4,16,4,0,0.0
4,19,1,0,0.0
4,35,1,0,0.0
4,18,2,0,0.0
5,5,402,85,0.21144278606965175
5,2,1044,1044,1.0
5,4,643,343,0.5334370139968896
5,3,1087,948,0.8721251149954001
5,6,236,30,0.1271186440677966
5,12,17,0,0.0
5,8,83,3,0.03614457831325301
5,7,122,10,0.08196721311475409
5,9,67,9,0.13432835820895522
5,11,25,2,0.08
5,14,5,0,0.0
5,10,37,2,0.05405405405405406
5,28,1,1,1.0
5,17,5,0,0.0
5,15,3,0,0.0
5,20,1,0,0.0
5,16,2,0,0.0
5,13,4,1,0.25
5,21,1,0,0.0
5,18,2,1,0.5
6,5,444,119,0.268018018018018
6,3,1064,928,0.8721804511278195
6,2,1011,1011,1.0
6,7,135,8,0.05925925925925926
6,4,651,367,0.5637480798771122
6,6,242,21,0.08677685950413223
6,8,83,3,0.03614457831325301
6,9,71,6,0.08450704225352113
6,11,20,2,0.1
6,10,34,3,0.08823529411764706
6,14,5,1,0.2
6,12,18,0,0.0
6,17,5,0,0.0
6,13,5,0,0.0
6,15,8,0,0.0
6,16,2,0,0.0
6,29,1,0,0.0
6,18,1,1,1.0
7,2,1064,1064,1.0
7,3,1005,886,0.881592039800995
7,4,673,369,0.5482912332838039
7,7,136,13,0.09558823529411764
7,5,459,127,0.2766884531590414
7,6,246,19,0.07723577235772358
7,8,96,3,0.03125
7,9,62,1,0.016129032258064516
7,12,23,0,0.0
7,11,25,1,0.04
7,10,32,2,0.0625
7,14,8,0,0.0
7,28,1,1,1.0
7,17,4,1,0.25
7,15,7,0,0.0
7,13,5,0,0.0
7,16,4,0,0.0
7,35,1,0,0.0
7,21,1,0,0.0
7,29,1,0,0.0
8,3,1099,961,0.8744313011828936
8,2,1048,1048,1.0
8,4,629,344,0.5468998410174881
8,5,430,92,0.21395348837209302
8,12,17,0,0.0
8,6,242,32,0.1322314049586777
8,8,78,3,0.038461538461538464
8,7,140,9,0.06428571428571428
8,9,53,3,0.05660377358490566
8,11,21,1,0.047619047619047616
8,10,31,2,0.06451612903225806
8,28,1,1,1.0
8,13,6,1,0.16666666666666666
8,15,5,0,0.0
8,14,5,1,0.2
8,20,1,0,0.0
8,17,3,0,0.0
8,35,1,0,0.0
8,21,1,0,0.0
8,16,2,0,0.0
9,2,1086,1086,1.0
9,3,1045,919,0.8794258373205741
9,4,654,363,0.555045871559633
9,7,134,9,0.06716417910447761
9,12,25,0,0.0
9,6,228,26,0.11403508771929824
9,5,422,98,0.23222748815165878
9,9,65,7,0.1076923076923077
9,8,71,2,0.028169014084507043
9,11,18,1,0.05555555555555555
9,14,7,1,0.14285714285714285
9,13,8,0,0.0
9,10,31,1,0.03225806451612903
9,15,5,0,0.0
9,20,1,0,0.0
9,17,3,0,0.0
9,35,1,0,0.0
9,18,2,1,0.5
9,29,1,0,0.0
9,16,1,0,0.0
10,5,417,103,0.24700239808153476
10,2,1066,1066,1.0
10,3,1092,937,0.858058608058608
10,4,627,336,0.5358851674641149
10,7,142,12,0.08450704225352113
10,6,223,23,0.1031390134529148
10,8,86,5,0.05813953488372093
10,9,71,8,0.11267605633802817
10,11,28,1,0.03571428571428571
10,10,26,1,0.038461538461538464
10,12,21,1,0.047619047619047616
10,28,1,1,1.0
10,15,6,0,0.0
10,30,1,0,0.0
10,14,5,0,0.0
10,17,7,0,0.0
10,16,3,0,0.0
10,13,7,0,0.0
10,21,1,0,0.0
10,20,1,0,0.0
10,18,2,0,0.0
10,29,1,0,0.0
