iter,utterance_length,nb_utterances,produced,production_score
1,2,2096,2096,1.0
1,4,1630,937,0.5748466257668712
1,3,2301,1975,0.85832246849196
1,5,1109,320,0.2885482416591524
1,8,231,12,0.05194805194805195
1,6,678,98,0.14454277286135694
1,7,425,29,0.06823529411764706
1,9,139,6,0.04316546762589928
1,13,11,0,0.0
1,15,9,2,0.2222222222222222
1,10,81,1,0.012345679012345678
1,11,38,0,0.0
1,12,33,2,0.06060606060606061
1,14,23,0,0.0
1,17,2,1,0.5
1,19,3,0,0.0
1,25,2,1,0.5
1,16,3,0,0.0
1,27,1,0,0.0
1,18,1,1,1.0
2,2,2133,2133,1.0
2,4,1622,862,0.531442663378545
2,3,2336,1954,0.836472602739726
2,7,461,23,0.049891540130151846
2,5,1051,311,0.29590865842055186
2,8,227,11,0.048458149779735685
2,6,712,104,0.14606741573033707
2,9,127,7,0.05511811023622047
2,10,80,2,0.025
2,12,29,2,0.06896551724137931
2,11,41,0,0.0
2,14,18,0,0.0
2,13,12,0,0.0
2,15,5,0,0.0
2,18,2,0,0.0
2,21,2,0,0.0
2,17,3,0,0.0
2,16,3,1,0.3333333333333333
2,19,2,0,0.0
2,25,3,2,0.6666666666666666
2,20,1,0,0.0
2,24,1,0,0.0
3,2,2207,2207,1.0
3,4,1639,903,0.5509456985967053
3,3,2343,2004,0.8553137003841229
3,5,1098,302,0.2750455373406193
3,7,449,22,0.04899777282850779
3,6,686,97,0.141399416909621
3,8,234,18,0.07692307692307693
3,9,130,7,0.05384615384615385
3,10,82,1,0.012195121951219513
3,12,28,1,0.03571428571428571
3,11,40,0,0.0
3,14,21,0,0.0
3,19,3,0,0.0
3,13,20,1,0.05
3,15,6,1,0.16666666666666666
3,17,4,0,0.0
3,16,5,1,0.2
3,18,1,1,1.0
3,33,1,0,0.0
3,21,1,0,0.0
3,28,1,0,0.0
3,20,1,0,0.0
3,24,1,0,0.0
4,2,2164,2164,1.0
4,4,1644,923,0.5614355231143552
4,3,2281,1923,0.8430512932924156
4,5,1129,339,0.30026572187776795
4,6,685,87,0.12700729927007298
4,7,462,27,0.05844155844155844
4,8,232,11,0.04741379310344827
4,13,15,1,0.06666666666666667
4,10,82,5,0.06097560975609756
4,9,132,7,0.05303030303030303
4,11,40,0,0.0
4,12,32,1,0.03125
4,14,18,0,0.0
4,25,3,1,0.3333333333333333
4,21,1,0,0.0
4,15,8,1,0.125
4,17,3,0,0.0
4,24,1,0,0.0
4,16,3,0,0.0
4,27,1,0,0.0
4,19,2,0,0.0
4,33,1,0,0.0
4,20,1,0,0.0
5,2,2156,2156,1.0
5,3,2263,1905,0.8418029164825453
5,4,1572,901,0.5731552162849872
5,5,1126,335,0.2975133214920071
5,7,498,28,0.05622489959839357
5,6,709,96,0.13540197461212977
5,8,249,13,0.05220883534136546
5,9,121,6,0.049586776859504134
5,10,82,2,0.024390243902439025
5,13,26,1,0.038461538461538464
5,12,29,1,0.034482758620689655
5,11,44,0,0.0
5,15,2,1,0.5
5,17,4,1,0.25
5,21,1,0,0.0
5,14,16,0,0.0
5,24,1,0,0.0
5,19,4,0,0.0
5,18,1,0,0.0
5,27,1,0,0.0
5,20,2,0,0.0
5,16,2,0,0.0
6,2,2198,2198,1.0
6,3,2354,1991,0.8457943925233645
6,4,1633,916,0.5609308022045315
6,5,1097,337,0.3072014585232452
6,7,447,23,0.05145413870246085
6,6,720,107,0.1486111111111111
6,8,230,4,0.017391304347826087
6,10,77,2,0.025974025974025976
6,9,127,5,0.03937007874015748
6,12,26,1,0.038461538461538464
6,11,49,0,0.0
6,14,16,0,0.0
6,19,6,0,0.0
6,15,6,0,0.0
6,13,9,0,0.0
6,17,2,1,0.5
6,24,2,0,0.0
6,27,1,0,0.0
6,25,1,1,1.0
6,18,1,1,1.0
6,16,2,1,0.5
6,33,1,0,0.0
6,21,1,0,0.0
6,28,1,0,0.0
7,2,2084,2084,1.0
7,3,2312,1970,0.8520761245674741
7,4,1635,904,0.5529051987767584
7,5,1124,317,0.2820284697508897
7,7,453,32,0.0706401766004415
7,6,732,115,0.15710382513661203
7,9,128,4,0.03125
7,8,238,12,0.05042016806722689
7,10,76,1,0.013157894736842105
7,12,28,1,0.03571428571428571
7,11,38,0,0.0
7,14,13,0,0.0
7,25,2,1,0.5
7,15,9,1,0.1111111111111111
7,13,12,0,0.0
7,17,1,0,0.0
7,18,1,0,0.0
7,24,1,0,0.0
7,16,6,0,0.0
7,20,2,0,0.0
7,19,3,0,0.0
8,2,2143,2143,1.0
8,4,1639,925,0.5643685173886516
8,3,2313,1972,0.8525724167747514
8,5,1095,324,0.2958904109589041
8,6,680,96,0.1411764705882353
8,8,223,13,0.05829596412556054
8,7,431,26,0.060324825986078884
8,9,146,11,0.07534246575342465
8,10,87,2,0.022988505747126436
8,13,17,0,0.0
8,12,26,2,0.07692307692307693
8,11,47,1,0.02127659574468085
8,14,19,0,0.0
8,21,2,0,0.0
8,15,3,0,0.0
8,24,2,0,0.0
8,17,1,0,0.0
8,19,3,0,0.0
8,27,1,0,0.0
8,25,2,2,1.0
8,16,4,1,0.25
8,20,1,0,0.0
9,2,2165,2165,1.0
9,3,2375,2015,0.848421052631579
9,4,1561,875,0.5605381165919282
9,5,1132,350,0.30918727915194344
9,8,234,14,0.05982905982905983
9,7,470,29,0.06170212765957447
9,6,689,98,0.14223512336719885
9,10,85,3,0.03529411764705882
9,9,137,12,0.08759124087591241
9,11,43,0,0.0
9,12,26,1,0.038461538461538464
9,14,13,0,0.0
9,15,7,1,0.14285714285714285
9,13,17,1,0.058823529411764705
9,18,2,0,0.0
9,21,2,0,0.0
9,17,2,0,0.0
9,16,5,0,0.0
9,19,5,0,0.0
9,25,1,1,1.0
9,33,1,0,0.0
9,20,2,0,0.0
10,2,2149,2149,1.0
10,4,1638,946,0.5775335775335775
10,3,2299,1944,0.8455850369725968
10,5,1050,319,0.3038095238095238
10,7,447,23,0.05145413870246085
10,6,710,102,0.14366197183098592
10,8,233,15,0.06437768240343347
10,10,83,3,0.03614457831325301
10,13,18,0,0.0
10,12,30,2,0.06666666666666667
10,9,125,6,0.048
