iter,utterance_length,nb_utterances,produced,production_score
1,2,1753,1753,1.0
1,3,1769,1475,0.8338044092707745
1,4,1343,797,0.5934475055845123
1,7,388,44,0.1134020618556701
1,6,637,138,0.21664050235478807
1,5,967,353,0.3650465356773526
1,8,212,19,0.08962264150943396
1,9,157,8,0.050955414012738856
1,17,11,0,0.0
1,11,59,3,0.05084745762711865
1,10,89,5,0.056179775280898875
1,16,13,2,0.15384615384615385
1,13,41,3,0.07317073170731707
1,14,33,0,0.0
1,12,38,0,0.0
1,15,19,2,0.10526315789473684
1,21,4,0,0.0
1,30,1,0,0.0
1,18,6,0,0.0
1,23,1,0,0.0
1,19,7,0,0.0
1,20,4,1,0.25
1,25,2,0,0.0
1,24,1,0,0.0
1,22,1,0,0.0
2,2,1716,1716,1.0
2,3,1767,1521,0.8607809847198642
2,6,580,121,0.20862068965517241
2,5,933,326,0.34941050375133975
2,8,201,16,0.07960199004975124
2,9,186,15,0.08064516129032258
2,4,1364,812,0.5953079178885631
2,7,362,36,0.09944751381215469
2,11,75,6,0.08
2,14,33,0,0.0
2,10,87,5,0.05747126436781609
2,13,35,3,0.08571428571428572
2,19,8,0,0.0
2,16,19,2,0.10526315789473684
2,15,15,1,0.06666666666666667
2,12,43,3,0.06976744186046512
2,17,9,1,0.1111111111111111
2,22,4,0,0.0
2,34,1,0,0.0
2,31,1,0,0.0
2,25,2,0,0.0
2,18,7,1,0.14285714285714285
2,20,5,1,0.2
2,21,2,0,0.0
2,32,1,0,0.0
2,23,1,0,0.0
3,2,1708,1708,1.0
3,4,1339,797,0.5952203136669156
3,3,1755,1499,0.8541310541310542
3,9,183,19,0.10382513661202186
3,5,982,339,0.34521384928716903
3,6,588,109,0.18537414965986396
3,10,103,5,0.04854368932038835
3,8,228,18,0.07894736842105263
3,11,68,3,0.04411764705882353
3,7,377,43,0.11405835543766578
3,17,11,1,0.09090909090909091
3,18,10,1,0.1
3,13,39,3,0.07692307692307693
3,14,35,2,0.05714285714285714
3,19,7,0,0.0
3,12,51,1,0.0196078431372549
3,15,23,1,0.043478260869565216
3,16,13,1,0.07692307692307693
3,22,4,0,0.0
3,26,1,0,0.0
3,34,1,0,0.0
3,30,1,0,0.0
3,32,1,1,1.0
3,23,1,0,0.0
3,20,4,0,0.0
3,21,2,0,0.0
3,25,2,0,0.0
3,24,1,0,0.0
3,28,1,0,0.0
4,2,1763,1763,1.0
4,4,1329,778,0.5854025583145221
4,3,1764,1501,0.8509070294784581
4,5,961,331,0.34443288241415193
4,8,222,23,0.1036036036036036
4,7,387,48,0.12403100775193798
4,9,171,19,0.1111111111111111
4,6,605,131,0.21652892561983472
4,17,11,3,0.2727272727272727
4,11,70,4,0.05714285714285714
4,14,26,0,0.0
4,10,95,3,0.031578947368421054
4,12,47,5,0.10638297872340426
4,13,28,0,0.0
4,16,11,0,0.0
4,19,6,0,0.0
4,15,18,1,0.05555555555555555
4,21,3,0,0.0
4,34,1,0,0.0
