iter,utterance_length,nb_utterances,produced,production_score
1,2,563,563,1.0
1,3,669,569,0.8505231689088192
1,4,543,280,0.5156537753222836
1,5,374,102,0.2727272727272727
1,6,299,37,0.12374581939799331
1,7,202,16,0.07920792079207921
1,9,105,6,0.05714285714285714
1,10,73,7,0.0958904109589041
1,8,155,10,0.06451612903225806
1,11,54,1,0.018518518518518517
1,12,58,5,0.08620689655172414
1,15,17,1,0.058823529411764705
1,13,32,0,0.0
1,14,16,0,0.0
1,20,10,0,0.0
1,17,14,1,0.07142857142857142
1,16,14,0,0.0
1,37,2,1,0.5
1,27,3,0,0.0
1,19,5,1,0.2
1,25,5,0,0.0
1,18,8,0,0.0
1,24,3,1,0.3333333333333333
1,23,2,1,0.5
1,34,1,0,0.0
1,39,1,0,0.0
1,28,1,0,0.0
1,26,1,0,0.0
1,38,1,1,1.0
1,21,2,0,0.0
1,22,2,1,0.5
2,3,650,554,0.8523076923076923
2,4,510,278,0.5450980392156862
2,2,562,562,1.0
2,5,396,105,0.26515151515151514
2,6,311,47,0.15112540192926044
2,9,101,10,0.09900990099009901
2,7,208,21,0.10096153846153846
2,12,48,1,0.020833333333333332
2,10,80,2,0.025
2,11,55,1,0.01818181818181818
2,8,138,9,0.06521739130434782
2,15,21,0,0.0
2,17,19,3,0.15789473684210525
2,13,26,1,0.038461538461538464
2,20,6,0,0.0
2,21,4,0,0.0
2,18,12,1,0.08333333333333333
2,14,18,0,0.0
2,26,2,1,0.5
2,23,6,0,0.0
2,16,11,1,0.09090909090909091
2,27,3,0,0.0
2,24,3,1,0.3333333333333333
2,19,7,0,0.0
2,25,5,0,0.0
2,34,1,0,0.0
2,28,2,0,0.0
2,37,1,1,1.0
2,31,1,0,0.0
2,39,1,0,0.0
2,22,1,0,0.0
2,40,1,0,0.0
3,2,616,616,1.0
3,3,609,513,0.8423645320197044
3,5,407,107,0.2628992628992629
3,4,512,270,0.52734375
3,6,290,40,0.13793103448275862
3,9,117,10,0.08547008547008547
3,12,46,5,0.10869565217391304
3,8,168,7,0.041666666666666664
3,10,79,1,0.012658227848101266
3,7,225,17,0.07555555555555556
3,11,67,2,0.029850746268656716
3,15,22,0,0.0
3,17,17,3,0.17647058823529413
3,13,39,1,0.02564102564102564
3,14,13,0,0.0
3,18,13,2,0.15384615384615385
3,16,11,0,0.0
3,37,1,0,0.0
3,26,3,0,0.0
3,27,2,0,0.0
3,21,6,0,0.0
3,23,3,0,0.0
3,19,4,0,0.0
3,24,2,0,0.0
3,31,2,0,0.0
3,20,4,0,0.0
3,25,3,0,0.0
3,29,1,0,0.0
3,40,1,0,0.0
3,69,1,0,0.0
3,39,1,0,0.0
3,22,2,1,0.5
4,2,574,574,1.0
4,3,610,510,0.8360655737704918
4,5,415,105,0.25301204819277107
4,4,555,310,0.5585585585585585
