iter,utterance_length,nb_utterances,produced,production_score
1,2,935,935,1.0
1,4,1155,593,0.5134199134199134
1,5,978,282,0.2883435582822086
1,3,1176,919,0.7814625850340136
1,6,696,115,0.16522988505747127
1,7,545,45,0.08256880733944955
1,10,195,16,0.08205128205128205
1,8,391,17,0.043478260869565216
1,13,119,6,0.05042016806722689
1,12,150,11,0.07333333333333333
1,9,282,26,0.09219858156028368
1,15,52,4,0.07692307692307693
1,17,29,0,0.0
1,11,171,8,0.04678362573099415
1,22,16,2,0.125
1,19,28,3,0.10714285714285714
1,24,11,0,0.0
1,14,89,3,0.033707865168539325
1,18,30,2,0.06666666666666667
1,16,52,2,0.038461538461538464
1,23,10,0,0.0
1,20,24,2,0.08333333333333333
1,25,7,1,0.14285714285714285
1,41,1,0,0.0
1,40,1,0,0.0
1,31,5,1,0.2
1,29,3,0,0.0
1,28,5,1,0.2
1,21,15,0,0.0
1,46,2,0,0.0
1,33,1,0,0.0
1,39,3,0,0.0
1,27,4,0,0.0
1,45,1,0,0.0
1,35,4,0,0.0
1,32,3,0,0.0
1,34,2,0,0.0
1,53,1,0,0.0
1,26,6,0,0.0
1,78,1,0,0.0
1,30,1,0,0.0
1,38,1,0,0.0
1,60,1,0,0.0
2,2,1008,1008,1.0
2,4,1183,627,0.5300084530853761
2,5,938,287,0.30597014925373134
2,3,1176,937,0.7967687074829932
2,6,714,100,0.1400560224089636
2,7,532,36,0.06766917293233082
2,8,370,20,0.05405405405405406
2,15,68,1,0.014705882352941176
2,10,206,11,0.05339805825242718
2,11,167,3,0.017964071856287425
2,12,143,6,0.04195804195804196
2,9,296,24,0.08108108108108109
2,13,101,5,0.04950495049504951
2,24,9,0,0.0
2,19,32,2,0.0625
2,21,16,1,0.0625
2,18,31,2,0.06451612903225806
2,14,96,3,0.03125
2,22,10,0,0.0
2,34,2,0,0.0
2,32,4,1,0.25
2,20,20,2,0.1
2,30,3,1,0.3333333333333333
2,25,8,1,0.125
2,16,47,2,0.0425531914893617
2,17,35,1,0.02857142857142857
2,40,2,0,0.0
2,27,4,0,0.0
2,33,1,0,0.0
2,29,3,0,0.0
2,28,8,1,0.125
2,26,6,0,0.0
2,39,1,0,0.0
2,23,7,0,0.0
2,46,1,0,0.0
2,35,3,0,0.0
2,31,1,0,0.0
2,51,1,0,0.0
2,36,1,0,0.0
2,38,1,0,0.0
3,2,975,975,1.0
3,5,944,249,0.263771186440678
3,4,1121,574,0.512042818911686
3,3,1161,919,0.7915590008613265
3,6,774,105,0.13565891472868216
3,11,158,9,0.056962025316455694
3,7,563,42,0.07460035523978685
3,8,360,19,0.05277777777777778
3,15,71,2,0.028169014084507043
3,10,210,12,0.05714285714285714
3,9,309,23,0.0744336569579288
3,17,42,1,0.023809523809523808
3,13,109,5,0.045871559633027525
3,14,91,6,0.06593406593406594
3,12,144,4,0.027777777777777776
3,20,27,2,0.07407407407407407
3,18,33,2,0.06060606060606061
3,16,61,5,0.08196721311475409
3,23,13,0,0.0
3,41,1,0,0.0
3,22,10,1,0.1
3,33,3,0,0.0
3,29,3,0,0.0
3,42,1,0,0.0
3,31,3,1,0.3333333333333333
3,28,5,2,0.4
3,32,3,0,0.0
3,21,22,2,0.09090909090909091
3,19,25,0,0.0
3,40,2,0,0.0
3,39,2,0,0.0
3,27,7,0,0.0
3,24,7,0,0.0
3,35,1,0,0.0
3,25,7,0,0.0
3,46,1,0,0.0
3,30,2,1,0.5
3,34,2,0,0.0
3,53,1,0,0.0
3,26,9,0,0.0
3,52,1,0,0.0
3,78,1,0,0.0
3,36,1,0,0.0
3,60,1,0,0.0
4,2,992,992,1.0
4,5,930,264,0.2838709677419355
4,4,1166,615,0.5274442538593482
4,3,1186,934,0.7875210792580101
4,6,763,112,0.14678899082568808
4,7,578,44,0.07612456747404844
4,10,226,17,0.0752212389380531
4,8,370,18,0.04864864864864865
4,12,147,12,0.08163265306122448
4,9,281,20,0.0711743772241993
4,17,39,3,0.07692307692307693
4,11,140,4,0.02857142857142857
4,22,13,2,0.15384615384615385
4,27,6,0,0.0
4,13,110,5,0.045454545454545456
4,19,22,0,0.0
4,15,66,4,0.06060606060606061
4,26,9,0,0.0
4,21,14,2,0.14285714285714285
4,14,80,2,0.025
4,18,36,1,0.027777777777777776
4,16,48,2,0.041666666666666664
4,34,1,0,0.0
4,25,9,0,0.0
4,20,16,2,0.125
4,24,11,0,0.0
4,40,2,0,0.0
4,33,2,0,0.0
4,29,4,0,0.0
4,42,1,0,0.0
4,31,4,1,0.25
4,46,2,0,0.0
4,39,2,0,0.0
4,23,5,0,0.0
4,35,3,0,0.0
4,28,9,1,0.1111111111111111
4,53,1,0,0.0
4,41,1,0,0.0
4,32,2,0,0.0
4,52,1,0,0.0
4,36,1,0,0.0
4,38,1,0,0.0
5,2,993,993,1.0
5,5,956,249,0.2604602510460251
5,3,1165,916,0.7862660944206008
5,4,1138,583,0.5123022847100176
5,7,540,36,0.06666666666666667
5,6,745,106,0.14228187919463087
5,10,224,15,0.06696428571428571
5,8,388,27,0.06958762886597938
5,15,63,2,0.031746031746031744
5,9,284,11,0.03873239436619718
5,12,141,8,0.05673758865248227
5,13,105,7,0.06666666666666667
5,11,165,8,0.048484848484848485
5,17,41,3,0.07317073170731707
5,19,30,3,0.1
5,14,91,3,0.03296703296703297
5,26,8,0,0.0
5,20,20,2,0.1
5,18,32,2,0.0625
5,23,15,0,0.0
5,22,10,1,0.1
5,30,3,0,0.0
5,16,51,3,0.058823529411764705
5,42,2,0,0.0
5,40,2,0,0.0
5,27,6,0,0.0
5,33,3,0,0.0
5,32,6,1,0.16666666666666666
5,25,8,0,0.0
5,29,6,0,0.0
5,24,7,1,0.14285714285714285
5,46,1,0,0.0
5,21,13,0,0.0
5,39,4,0,0.0
5,28,5,0,0.0
5,37,2,0,0.0
5,35,3,0,0.0
5,34,2,0,0.0
5,31,2,0,0.0
5,41,1,0,0.0
5,52,1,0,0.0
5,36,2,0,0.0
5,38,1,0,0.0
6,2,980,980,1.0
6,5,973,279,0.2867420349434738
6,4,1149,587,0.5108790252393386
6,3,1137,891,0.783641160949868
6,6,740,105,0.14189189189189189
6,7,559,45,0.08050089445438283
6,10,223,15,0.06726457399103139
6,8,386,25,0.06476683937823834
6,11,167,8,0.04790419161676647
6,12,156,9,0.057692307692307696
6,9,282,17,0.06028368794326241
6,13,113,5,0.04424778761061947
6,22,10,1,0.1
6,17,38,1,0.02631578947368421
6,19,32,2,0.0625
6,15,71,2,0.028169014084507043
6,26,11,0,0.0
6,21,14,1,0.07142857142857142
6,20,28,3,0.10714285714285714
6,18,39,4,0.10256410256410256
6,14,82,4,0.04878048780487805
6,30,3,0,0.0
6,16,46,3,0.06521739130434782
6,40,2,0,0.0
6,24,10,0,0.0
6,27,5,1,0.2
6,32,5,0,0.0
6,25,7,1,0.14285714285714285
6,46,2,0,0.0
6,23,8,0,0.0
6,28,5,1,0.2
6,31,3,0,0.0
6,29,1,0,0.0
6,39,2,0,0.0
6,35,2,1,0.5
6,53,1,0,0.0
6,34,1,0,0.0
6,36,1,0,0.0
6,51,1,0,0.0
6,52,1,0,0.0
6,38,1,0,0.0
7,2,976,976,1.0
7,4,1147,595,0.5187445510026155
7,3,1155,892,0.7722943722943723
7,5,948,246,0.25949367088607594
7,6,750,106,0.14133333333333334
7,7,522,48,0.09195402298850575
7,10,197,12,0.06091370558375635
7,11,159,4,0.025157232704402517
7,8,375,17,0.04533333333333334
7,9,290,19,0.06551724137931035
7,12,153,6,0.0392156862745098
7,15,64,3,0.046875
7,17,39,2,0.05128205128205128
