iter,utterance_length,nb_utterances,produced,production_score
1,2,1577,1577,1.0
1,3,1098,921,0.8387978142076503
1,4,614,290,0.4723127035830619
1,5,348,72,0.20689655172413793
1,6,154,9,0.05844155844155844
1,9,8,0,0.0
1,7,70,1,0.014285714285714285
1,8,36,1,0.027777777777777776
1,10,7,0,0.0
1,11,3,0,0.0
1,14,1,0,0.0
1,13,1,0,0.0
2,2,1653,1653,1.0
2,3,1079,869,0.8053753475440223
2,4,632,264,0.4177215189873418
2,5,320,51,0.159375
2,6,139,8,0.05755395683453238
2,7,58,4,0.06896551724137931
2,8,37,1,0.02702702702702703
2,9,11,1,0.09090909090909091
2,11,4,0,0.0
2,12,2,0,0.0
2,10,5,0,0.0
2,14,1,0,0.0
2,13,1,0,0.0
3,2,1602,1602,1.0
3,3,1115,911,0.8170403587443946
3,4,651,307,0.4715821812596006
3,5,320,53,0.165625
3,6,130,7,0.05384615384615385
3,7,55,1,0.01818181818181818
3,8,35,1,0.02857142857142857
3,9,13,0,0.0
3,10,5,0,0.0
3,12,3,0,0.0
3,11,3,0,0.0
3,14,1,0,0.0
3,16,1,0,0.0
3,13,1,0,0.0
4,2,1598,1598,1.0
4,3,1093,893,0.8170173833485819
4,4,642,290,0.4517133956386293
4,5,338,63,0.1863905325443787
4,6,130,6,0.046153846153846156
4,9,16,1,0.0625
4,7,61,1,0.01639344262295082
4,8,35,1,0.02857142857142857
4,10,5,1,0.2
4,12,3,0,0.0
4,14,1,0,0.0
4,11,1,0,0.0
4,13,1,0,0.0
5,2,1579,1579,1.0
5,3,1052,870,0.8269961977186312
5,4,644,286,0.4440993788819876
5,5,325,50,0.15384615384615385
5,9,14,0,0.0
5,6,147,8,0.05442176870748299
5,8,38,2,0.05263157894736842
5,7,61,0,0.0
5,12,2,0,0.0
5,10,4,0,0.0
5,11,5,0,0.0
5,16,1,0,0.0
5,13,1,0,0.0
6,2,1576,1576,1.0
6,3,1072,881,0.8218283582089553
6,4,610,284,0.46557377049180326
6,5,296,68,0.22972972972972974
6,6,134,7,0.05223880597014925
6,8,29,2,0.06896551724137931
6,7,54,2,0.037037037037037035
6,9,11,0,0.0
6,10,4,0,0.0
6,16,1,0,0.0
6,12,1,0,0.0
7,2,1588,1588,1.0
7,3,1057,840,0.7947019867549668
7,4,657,284,0.4322678843226788
7,5,328,55,0.1676829268292683
7,6,140,8,0.05714285714285714
7,8,36,1,0.027777777777777776
7,7,60,1,0.016666666666666666
7,9,9,0,0.0
7,14,1,0,0.0
7,11,4,0,0.0
7,10,1,0,0.0
8,2,1605,1605,1.0
8,3,1094,894,0.8171846435100548
8,4,635,275,0.4330708661417323
8,5,321,62,0.19314641744548286
8,6,127,8,0.06299212598425197
8,9,14,1,0.07142857142857142
8,7,67,2,0.029850746268656716
8,8,31,1,0.03225806451612903
8,15,1,0,0.0
8,10,3,0,0.0
8,16,1,0,0.0
8,12,1,0,0.0
8,11,1,0,0.0
8,13,1,0,0.0
9,2,1590,1590,1.0
9,3,1110,914,0.8234234234234235
9,4,618,272,0.4401294498381877
9,5,355,65,0.18309859154929578
9,6,138,5,0.036231884057971016
9,7,57,2,0.03508771929824561
9,8,36,1,0.027777777777777776
9,9,11,0,0.0
9,10,5,0,0.0
9,11,2,0,0.0
9,12,1,0,0.0
9,13,1,0,0.0
10,3,1110,920,0.8288288288288288
10,2,1572,1572,1.0
10,4,665,300,0.45112781954887216
10,5,299,39,0.13043478260869565
10,6,135,9,0.06666666666666667
10,9,13,0,0.0
10,7,56,0,0.0
10,8,27,1,0.037037037037037035
10,11,3,0,0.0
10,10,6,0,0.0
10,14,1,0,0.0
10,12,2,0,0.0
10,13,1,0,0.0
