iter,utterance_length,nb_utterances,produced,production_score
1,2,1752,1752,1.0
1,4,293,119,0.4061433447098976
1,3,827,603,0.7291414752116082
1,7,6,0,0.0
1,5,54,7,0.12962962962962962
1,6,10,0,0.0
1,9,1,0,0.0
1,8,1,0,0.0
2,2,1818,1818,1.0
2,3,794,583,0.7342569269521411
2,4,256,123,0.48046875
2,5,52,6,0.11538461538461539
2,6,13,0,0.0
2,8,2,0,0.0
2,7,8,0,0.0
2,9,1,0,0.0
3,3,813,588,0.7232472324723247
3,2,1858,1858,1.0
3,4,300,135,0.45
3,5,60,8,0.13333333333333333
3,6,12,0,0.0
3,7,6,0,0.0
3,9,1,0,0.0
3,8,1,0,0.0
4,3,820,614,0.748780487804878
4,2,1751,1751,1.0
4,7,5,1,0.2
4,4,283,128,0.45229681978798586
4,5,58,9,0.15517241379310345
4,6,13,0,0.0
4,8,2,0,0.0
4,9,1,0,0.0
5,3,808,582,0.7202970297029703
5,2,1827,1827,1.0
5,4,286,106,0.3706293706293706
5,6,15,0,0.0
5,7,7,0,0.0
5,5,52,6,0.11538461538461539
5,8,1,0,0.0
5,9,1,0,0.0
6,2,1765,1765,1.0
6,3,843,635,0.7532621589561092
6,4,268,124,0.4626865671641791
6,7,7,0,0.0
6,5,57,13,0.22807017543859648
6,6,13,0,0.0
6,8,1,0,0.0
6,9,1,0,0.0
7,2,1753,1753,1.0
7,3,824,611,0.741504854368932
7,4,285,121,0.4245614035087719
7,5,52,7,0.1346153846153846
7,6,15,0,0.0
7,8,1,0,0.0
7,7,5,0,0.0
8,2,1826,1826,1.0
8,3,836,600,0.7177033492822966
8,4,290,124,0.42758620689655175
8,5,65,8,0.12307692307692308
8,6,9,0,0.0
8,7,6,0,0.0
8,8,1,0,0.0
9,2,1767,1767,1.0
9,3,817,610,0.7466340269277846
9,6,14,0,0.0
9,4,263,118,0.44866920152091255
9,5,66,8,0.12121212121212122
9,8,2,0,0.0
9,7,7,0,0.0
10,3,855,602,0.704093567251462
10,2,1800,1800,1.0
10,6,18,0,0.0
10,4,264,111,0.42045454545454547
10,5,43,5,0.11627906976744186
10,8,2,0,0.0
10,7,5,0,0.0
10,9,1,0,0.0
