iter,utterance_length,nb_utterances,produced,production_score
1,2,787,787,1.0
1,5,603,132,0.21890547263681592
1,3,802,667,0.8316708229426434
1,4,703,390,0.5547652916073968
1,6,454,48,0.10572687224669604
1,26,7,0,0.0
1,7,334,26,0.07784431137724551
1,10,141,6,0.0425531914893617
1,9,189,14,0.07407407407407407
1,11,99,5,0.050505050505050504
1,12,71,3,0.04225352112676056
1,8,242,17,0.07024793388429752
1,13,71,4,0.056338028169014086
1,21,12,0,0.0
1,18,19,2,0.10526315789473684
1,15,41,6,0.14634146341463414
1,22,11,0,0.0
1,19,18,0,0.0
1,14,65,3,0.046153846153846156
1,17,25,2,0.08
1,35,3,0,0.0
1,24,8,1,0.125
1,16,32,0,0.0
1,25,6,0,0.0
1,27,3,2,0.6666666666666666
1,44,1,0,0.0
1,31,4,0,0.0
1,20,8,0,0.0
1,32,1,1,1.0
1,29,4,0,0.0
1,43,1,0,0.0
1,23,5,0,0.0
1,38,2,0,0.0
1,41,2,0,0.0
1,28,1,0,0.0
1,33,1,0,0.0
1,30,1,0,0.0
1,51,1,0,0.0
2,3,778,639,0.8213367609254498
2,5,577,133,0.23050259965337955
2,2,825,825,1.0
2,8,219,22,0.1004566210045662
2,6,454,51,0.11233480176211454
2,4,777,382,0.49163449163449163
2,26,3,0,0.0
2,9,180,19,0.10555555555555556
2,10,144,8,0.05555555555555555
2,7,294,31,0.1054421768707483
2,12,76,5,0.06578947368421052
2,11,105,5,0.047619047619047616
2,16,31,1,0.03225806451612903
2,14,60,5,0.08333333333333333
2,13,55,1,0.01818181818181818
2,18,18,1,0.05555555555555555
2,15,45,7,0.15555555555555556
2,19,21,1,0.047619047619047616
2,17,38,5,0.13157894736842105
2,20,16,0,0.0
2,35,1,0,0.0
2,24,7,0,0.0
2,21,11,0,0.0
2,25,5,0,0.0
2,32,2,0,0.0
2,23,3,0,0.0
2,34,1,0,0.0
2,31,2,0,0.0
2,22,8,0,0.0
2,29,3,1,0.3333333333333333
2,43,2,1,0.5
2,27,5,1,0.2
2,28,4,1,0.25
2,58,1,0,0.0
2,36,1,0,0.0
2,30,3,0,0.0
2,33,1,0,0.0
2,67,1,0,0.0
2,38,1,0,0.0
3,2,793,793,1.0
3,3,822,700,0.851581508515815
3,5,601,173,0.2878535773710483
3,4,715,392,0.5482517482517483
3,6,457,57,0.12472647702407003
3,9,179,21,0.11731843575418995
3,7,334,30,0.08982035928143713
3,10,115,8,0.06956521739130435
3,14,57,6,0.10526315789473684
3,12,69,2,0.028985507246376812
3,11,96,5,0.052083333333333336
3,8,243,27,0.1111111111111111
3,13,71,2,0.028169014084507043
3,16,31,3,0.0967741935483871
3,15,49,4,0.08163265306122448
3,19,30,1,0.03333333333333333
3,22,10,0,0.0
3,17,30,3,0.1
3,30,4,0,0.0
3,27,5,0,0.0
3,23,12,1,0.08333333333333333
3,21,15,2,0.13333333333333333
3,33,3,0,0.0
3,18,20,1,0.05
3,44,1,0,0.0
3,20,16,1,0.0625
3,34,1,0,0.0
3,28,7,1,0.14285714285714285
3,25,5,1,0.2
3,24,5,0,0.0
3,26,3,0,0.0
3,29,6,1,0.16666666666666666
3,32,1,0,0.0
3,38,2,0,0.0
