iter,utterance_length,nb_utterances,produced,production_score
1,2,18425,18425,1.0
1,4,7626,4253,0.5576973511670601
1,3,12977,11038,0.8505817985666949
1,5,4506,1470,0.3262316910785619
1,11,231,1,0.004329004329004329
1,6,2788,463,0.16606886657101866
1,7,1652,144,0.08716707021791767
1,9,610,15,0.02459016393442623
1,8,941,48,0.05100956429330499
1,12,158,6,0.0379746835443038
1,10,362,13,0.03591160220994475
1,13,115,4,0.034782608695652174
1,14,60,2,0.03333333333333333
1,18,12,1,0.08333333333333333
1,16,18,1,0.05555555555555555
1,19,9,0,0.0
1,27,2,0,0.0
1,15,37,0,0.0
1,22,4,1,0.25
1,23,4,0,0.0
1,25,4,1,0.25
1,17,13,0,0.0
1,21,8,0,0.0
1,28,2,0,0.0
1,26,1,0,0.0
1,20,7,0,0.0
1,35,1,0,0.0
1,24,3,0,0.0
2,2,18461,18461,1.0
2,3,12847,10839,0.843698918035339
2,4,7792,4256,0.5462012320328542
2,8,991,51,0.05146316851664985
2,5,4625,1465,0.31675675675675674
2,11,227,9,0.039647577092511016
2,6,2787,486,0.1743810548977395
2,7,1722,143,0.08304297328687572
2,9,580,21,0.03620689655172414
2,12,128,1,0.0078125
2,15,39,1,0.02564102564102564
2,13,89,1,0.011235955056179775
2,10,376,14,0.03723404255319149
2,19,10,0,0.0
2,14,59,3,0.05084745762711865
2,20,11,0,0.0
2,16,27,3,0.1111111111111111
2,18,12,0,0.0
2,23,5,0,0.0
2,17,10,0,0.0
2,25,4,1,0.25
2,24,3,0,0.0
2,21,8,0,0.0
2,40,1,0,0.0
2,26,2,0,0.0
2,28,1,0,0.0
2,38,1,0,0.0
2,22,2,1,0.5
3,2,18434,18434,1.0
3,3,12820,10840,0.8455538221528861
3,4,7581,4167,0.5496636327661258
3,5,4521,1399,0.30944481309444816
3,6,2681,441,0.16449086161879894
3,7,1618,137,0.08467243510506799
3,8,980,64,0.0653061224489796
3,9,603,23,0.03814262023217247
3,13,109,1,0.009174311926605505
3,10,361,12,0.0332409972299169
3,11,235,5,0.02127659574468085
3,15,35,1,0.02857142857142857
3,12,163,2,0.012269938650306749
3,17,11,0,0.0
3,18,13,0,0.0
3,16,25,1,0.04
3,14,68,2,0.029411764705882353
3,19,10,0,0.0
3,23,4,0,0.0
3,29,2,0,0.0
3,22,3,0,0.0
3,21,12,0,0.0
3,25,2,0,0.0
3,24,4,1,0.25
3,28,2,0,0.0
3,26,3,0,0.0
3,20,9,0,0.0
3,38,1,0,0.0
3,33,1,0,0.0
4,2,18452,18452,1.0
4,3,12777,10778,0.843546998512953
4,4,7666,4154,0.541873206365771
4,5,4545,1472,0.32387238723872386
4,11,202,7,0.034653465346534656
4,6,2767,463,0.16732923744127215
4,8,951,51,0.05362776025236593
4,7,1661,155,0.09331727874774233
4,9,582,21,0.03608247422680412
4,12,155,2,0.012903225806451613
4,17,16,0,0.0
4,15,38,1,0.02631578947368421
4,10,356,7,0.019662921348314606
4,13,84,5,0.05952380952380952
4,18,15,1,0.06666666666666667
4,14,65,5,0.07692307692307693
4,16,23,2,0.08695652173913043
4,20,14,0,0.0
4,27,2,0,0.0
4,22,3,1,0.3333333333333333
4,23,3,0,0.0
4,21,8,0,0.0
4,25,2,0,0.0
4,24,4,1,0.25
4,26,3,0,0.0
4,19,6,0,0.0
4,40,1,0,0.0
4,28,1,0,0.0
4,38,1,0,0.0
4,35,1,0,0.0
4,29,1,0,0.0
5,4,7591,4118,0.5424845211434594
5,2,18451,18451,1.0
5,3,12701,10831,0.8527674986221557
5,5,4516,1434,0.3175376439326838
5,11,226,6,0.02654867256637168
5,6,2740,454,0.16569343065693432
5,7,1670,145,0.08682634730538923
5,8,938,58,0.06183368869936034
5,9,597,25,0.04187604690117253
5,12,159,3,0.018867924528301886
5,15,46,1,0.021739130434782608
5,10,355,8,0.022535211267605635
5,13,105,3,0.02857142857142857
5,19,10,0,0.0
5,14,72,4,0.05555555555555555
5,17,11,0,0.0
5,16,21,2,0.09523809523809523
5,20,11,0,0.0
5,27,3,0,0.0
5,18,15,1,0.06666666666666667
5,22,4,0,0.0
5,23,5,0,0.0
5,25,3,0,0.0
5,21,11,0,0.0
5,24,6,1,0.16666666666666666
5,26,3,0,0.0
5,28,2,0,0.0
5,38,1,0,0.0
6,2,18322,18322,1.0
6,3,12750,10755,0.8435294117647059
6,4,7715,4199,0.5442644199611147
6,5,4594,1430,0.3112755768393557
6,8,939,47,0.05005324813631523
6,6,2822,468,0.16583982990786675
6,7,1697,143,0.08426635238656452
6,9,618,19,0.030744336569579287
6,12,164,3,0.018292682926829267
6,10,387,16,0.041343669250646
6,11,200,3,0.015
6,13,107,5,0.04672897196261682
6,15,32,0,0.0
6,14,57,3,0.05263157894736842
6,16,30,2,0.06666666666666667
6,20,14,0,0.0
6,19,3,0,0.0
6,18,14,1,0.07142857142857142
6,22,3,1,0.3333333333333333
6,23,2,0,0.0
6,17,14,0,0.0
6,25,1,0,0.0
6,21,10,0,0.0
6,27,1,0,0.0
6,26,3,0,0.0
6,40,1,0,0.0
6,35,1,0,0.0
6,28,1,0,0.0
6,24,2,0,0.0
7,4,7695,4131,0.5368421052631579
7,2,18322,18322,1.0
7,3,12759,10845,0.849988243592758
7,5,4628,1485,0.32087294727744164
7,6,2844,450,0.15822784810126583
7,11,219,5,0.0228310502283105
7,7,1654,135,0.08162031438935913
7,9,561,19,0.0338680926916221
7,8,907,42,0.04630650496141125
7,12,156,3,0.019230769230769232
7,17,18,0,0.0
7,13,102,7,0.06862745098039216
7,19,13,0,0.0
7,10,323,9,0.02786377708978328
7,14,62,2,0.03225806451612903
7,15,38,0,0.0
7,16,25,2,0.08
7,22,5,1,0.2
7,23,5,0,0.0
7,18,12,0,0.0
7,20,11,0,0.0
7,25,4,1,0.25
7,24,4,0,0.0
7,26,1,0,0.0
7,21,8,0,0.0
7,40,1,0,0.0
7,37,1,0,0.0
8,4,7746,4287,0.5534469403563129
8,2,18693,18693,1.0
8,3,12662,10687,0.8440214815984837
8,5,4502,1485,0.3298533984895602
8,8,965,58,0.06010362694300518
8,6,2804,458,0.16333808844507847
8,7,1653,151,0.09134906231094979
8,9,560,21,0.0375
8,13,116,6,0.05172413793103448
8,12,154,2,0.012987012987012988
8,15,42,2,0.047619047619047616
8,10,343,7,0.02040816326530612
8,19,6,0,0.0
8,11,233,8,0.034334763948497854
8,18,22,1,0.045454545454545456
8,14,73,5,0.0684931506849315
8,20,14,0,0.0
8,16,18,0,0.0
8,23,3,0,0.0
8,17,16,0,0.0
8,22,5,1,0.2
8,25,2,0,0.0
8,21,11,0,0.0
8,27,1,0,0.0
8,24,5,1,0.2
8,28,1,0,0.0
8,26,2,0,0.0
8,38,1,0,0.0
8,35,1,0,0.0
8,37,1,0,0.0
9,4,7717,4217,0.5464558766359985
9,2,18509,18509,1.0
9,3,12753,10840,0.8499960793538776
9,5,4590,1467,0.3196078431372549
9,7,1701,153,0.08994708994708994
9,6,2844,441,0.1550632911392405
9,8,914,46,0.05032822757111598
9,11,224,4,0.017857142857142856
9,9,591,21,0.03553299492385787
9,12,148,3,0.02027027027027027
9,17,16,0,0.0
9,10,370,14,0.03783783783783784
9,19,10,0,0.0
9,15,41,0,0.0
9,13,83,4,0.04819277108433735
9,14,61,2,0.03278688524590164
9,20,11,0,0.0
9,16,26,3,0.11538461538461539
9,18,20,0,0.0
9,23,3,0,0.0
9,22,4,1,0.25
9,27,2,0,0.0
9,21,8,0,0.0
9,25,1,0,0.0
9,24,4,1,0.25
9,28,3,1,0.3333333333333333
9,26,2,0,0.0
10,4,7663,4155,0.5422158423593892
10,2,18278,18278,1.0
10,3,12709,10771,0.8475096388386183
10,5,4654,1477,0.3173614095401805
10,8,922,55,0.0596529284164859
10,11,237,7,0.029535864978902954
10,7,1677,144,0.08586762075134168
10,6,2803,462,0.16482340349625402
10,9,587,19,0.03236797274275979
10,12,147,4,0.027210884353741496
10,13,110,5,0.045454545454545456
10,10,342,7,0.02046783625730994
10,15,40,2,0.05
10,27,1,0,0.0
10,14,61,3,0.04918032786885246
10,16,21,2,0.09523809523809523
10,18,10,0,0.0
10,23,5,0,0.0
10,20,12,0,0.0
10,17,12,0,0.0
10,19,10,0,0.0
10,24,5,1,0.2
10,28,2,1,0.5
10,26,4,0,0.0
10,21,9,1,0.1111111111111111
10,38,1,0,0.0
10,22,5,1,0.2
10,25,2,0,0.0
10,37,1,0,0.0
