iter,utterance_length,nb_utterances,produced,production_score
1,2,315,315,1.0
1,4,141,66,0.46808510638297873
1,3,225,180,0.8
1,6,38,5,0.13157894736842105
1,8,12,2,0.16666666666666666
1,5,62,20,0.3225806451612903
1,7,17,0,0.0
1,9,8,1,0.125
1,11,1,0,0.0
1,10,2,0,0.0
2,2,315,315,1.0
2,3,206,169,0.8203883495145631
2,4,150,74,0.49333333333333335
2,9,7,1,0.14285714285714285
2,5,67,20,0.29850746268656714
2,6,38,6,0.15789473684210525
2,8,9,1,0.1111111111111111
2,7,16,1,0.0625
2,10,1,0,0.0
3,3,229,185,0.8078602620087336
3,2,317,317,1.0
3,5,70,28,0.4
3,4,130,60,0.46153846153846156
3,6,30,5,0.16666666666666666
3,7,17,0,0.0
3,8,11,1,0.09090909090909091
3,9,8,0,0.0
3,10,2,0,0.0
4,2,317,317,1.0
4,3,220,182,0.8272727272727273
4,9,7,1,0.14285714285714285
4,5,56,15,0.26785714285714285
4,4,114,55,0.4824561403508772
4,6,34,7,0.20588235294117646
4,7,15,0,0.0
4,8,8,1,0.125
4,11,1,0,0.0
4,10,3,0,0.0
5,3,260,217,0.8346153846153846
5,2,321,321,1.0
5,4,133,52,0.39097744360902253
5,6,39,6,0.15384615384615385
5,5,67,17,0.2537313432835821
5,7,16,1,0.0625
5,9,7,0,0.0
5,8,4,0,0.0
6,2,339,339,1.0
6,3,233,182,0.7811158798283262
6,4,132,71,0.5378787878787878
6,9,9,0,0.0
6,5,54,16,0.2962962962962963
6,6,33,7,0.21212121212121213
6,8,10,0,0.0
6,7,15,0,0.0
6,11,1,0,0.0
7,2,312,312,1.0
7,4,127,63,0.49606299212598426
7,3,212,176,0.8301886792452831
7,5,82,25,0.3048780487804878
7,6,41,10,0.24390243902439024
7,9,8,0,0.0
7,7,22,0,0.0
7,8,11,0,0.0
7,10,3,0,0.0
7,11,1,0,0.0
8,2,314,314,1.0
8,4,142,67,0.47183098591549294
8,9,8,0,0.0
8,3,224,182,0.8125
8,5,71,20,0.28169014084507044
8,8,11,1,0.09090909090909091
8,6,32,6,0.1875
8,7,16,0,0.0
8,10,1,0,0.0
9,2,301,301,1.0
9,3,220,178,0.8090909090909091
9,4,123,68,0.5528455284552846
9,5,74,22,0.2972972972972973
9,6,36,5,0.1388888888888889
9,9,8,0,0.0
9,7,14,1,0.07142857142857142
9,8,8,0,0.0
9,10,1,0,0.0
10,2,342,342,1.0
10,3,222,182,0.8198198198198198
10,4,144,77,0.5347222222222222
10,9,5,0,0.0
10,5,67,15,0.22388059701492538
10,6,43,10,0.23255813953488372
10,7,18,0,0.0
10,8,6,1,0.16666666666666666
10,10,2,0,0.0
