iter,utterance_length,nb_utterances,produced,production_score
1,3,383,323,0.8433420365535248
1,5,249,63,0.25301204819277107
1,4,294,142,0.48299319727891155
1,2,383,383,1.0
1,10,23,1,0.043478260869565216
1,6,166,14,0.08433734939759036
1,7,109,4,0.03669724770642202
1,12,17,0,0.0
1,14,21,2,0.09523809523809523
1,8,80,5,0.0625
1,11,23,2,0.08695652173913043
1,9,54,3,0.05555555555555555
1,16,4,1,0.25
1,22,1,0,0.0
1,24,1,0,0.0
1,17,4,1,0.25
1,13,11,2,0.18181818181818182
1,27,1,0,0.0
1,30,2,0,0.0
1,15,3,0,0.0
1,28,1,0,0.0
1,20,1,0,0.0
2,3,401,321,0.800498753117207
2,5,231,59,0.2554112554112554
2,4,304,148,0.4868421052631579
2,2,389,389,1.0
2,6,180,20,0.1111111111111111
2,8,82,4,0.04878048780487805
2,7,112,7,0.0625
2,14,19,0,0.0
2,11,26,2,0.07692307692307693
2,9,45,1,0.022222222222222223
2,10,31,5,0.16129032258064516
2,12,16,0,0.0
2,17,7,0,0.0
2,16,3,0,0.0
2,13,7,1,0.14285714285714285
2,27,1,0,0.0
2,22,1,0,0.0
2,30,2,0,0.0
2,15,4,0,0.0
2,19,3,0,0.0
2,28,2,0,0.0
2,21,1,0,0.0
2,20,1,0,0.0
2,38,1,0,0.0
2,23,1,0,0.0
3,3,382,322,0.8429319371727748
3,4,315,159,0.5047619047619047
3,6,164,13,0.07926829268292683
3,2,379,379,1.0
3,5,232,64,0.27586206896551724
3,10,26,1,0.038461538461538464
3,12,16,0,0.0
3,18,3,0,0.0
3,14,13,0,0.0
3,15,8,0,0.0
3,7,118,7,0.059322033898305086
3,8,76,4,0.05263157894736842
3,11,29,0,0.0
3,9,57,3,0.05263157894736842
3,24,1,0,0.0
3,16,3,0,0.0
3,13,7,0,0.0
3,22,1,0,0.0
3,30,2,0,0.0
3,21,2,0,0.0
3,28,1,0,0.0
3,19,2,0,0.0
3,20,1,0,0.0
3,17,2,0,0.0
3,23,1,0,0.0
4,5,235,66,0.28085106382978725
4,4,290,142,0.4896551724137931
4,3,327,270,0.8256880733944955
4,2,357,357,1.0
4,6,177,24,0.13559322033898305
4,8,74,4,0.05405405405405406
4,14,11,0,0.0
4,15,5,0,0.0
4,7,121,5,0.04132231404958678
4,12,13,2,0.15384615384615385
4,11,30,3,0.1
4,10,25,2,0.08
4,16,4,0,0.0
4,13,13,0,0.0
4,9,46,3,0.06521739130434782
4,17,5,0,0.0
4,19,1,0,0.0
4,30,2,0,0.0
4,23,2,0,0.0
4,18,3,0,0.0
4,25,1,0,0.0
4,20,1,0,0.0
4,28,1,0,0.0
5,3,365,296,0.810958904109589
5,5,226,51,0.22566371681415928
5,4,296,141,0.47635135135135137
5,2,370,370,1.0
5,6,168,20,0.11904761904761904
5,7,115,7,0.06086956521739131
5,8,81,5,0.06172839506172839
5,18,2,0,0.0
5,14,9,0,0.0
5,12,15,1,0.06666666666666667
5,10,25,0,0.0
5,9,59,2,0.03389830508474576
5,11,28,0,0.0
5,17,5,0,0.0
5,15,4,0,0.0
5,16,2,0,0.0
5,13,10,0,0.0
5,22,1,0,0.0
5,30,1,0,0.0
5,23,1,0,0.0
5,38,1,0,0.0
5,28,1,0,0.0
5,19,1,0,0.0
6,5,246,59,0.23983739837398374
6,3,364,309,0.8489010989010989
6,2,383,383,1.0
6,6,180,19,0.10555555555555556
6,4,291,147,0.5051546391752577
6,8,77,4,0.05194805194805195
6,18,2,1,0.5
6,9,61,5,0.08196721311475409
6,7,120,6,0.05
6,11,28,2,0.07142857142857142
6,12,13,2,0.15384615384615385
6,10,22,2,0.09090909090909091
6,13,14,0,0.0
6,17,5,1,0.2
6,15,4,0,0.0
6,14,10,1,0.1
6,16,2,1,0.5
6,19,1,0,0.0
6,28,2,0,0.0
6,21,1,0,0.0
6,23,3,0,0.0
6,20,1,0,0.0
7,3,367,304,0.8283378746594006
7,5,235,68,0.28936170212765955
7,2,361,361,1.0
7,4,312,168,0.5384615384615384
7,6,164,22,0.13414634146341464
7,8,76,3,0.039473684210526314
7,10,33,2,0.06060606060606061
7,18,1,0,0.0
7,7,114,7,0.06140350877192982
7,12,19,3,0.15789473684210525
7,9,57,5,0.08771929824561403
7,11,24,0,0.0
7,14,10,0,0.0
7,13,8,0,0.0
7,16,4,1,0.25
7,17,5,0,0.0
7,27,1,0,0.0
7,22,2,1,0.5
7,15,7,0,0.0
7,30,2,0,0.0
7,28,1,0,0.0
7,19,2,0,0.0
7,21,1,0,0.0
7,20,2,0,0.0
7,23,1,0,0.0
7,25,1,0,0.0
7,38,1,0,0.0
8,3,386,316,0.8186528497409327
8,5,231,62,0.2683982683982684
8,6,159,12,0.07547169811320754
8,2,342,342,1.0
8,4,317,176,0.555205047318612
8,8,79,7,0.08860759493670886
8,7,120,9,0.075
8,15,6,1,0.16666666666666666
8,11,27,2,0.07407407407407407
8,9,56,2,0.03571428571428571
8,10,35,4,0.11428571428571428
8,12,23,2,0.08695652173913043
8,14,9,2,0.2222222222222222
8,16,2,0,0.0
8,13,9,1,0.1111111111111111
8,28,3,0,0.0
8,23,1,0,0.0
8,20,1,0,0.0
8,17,1,0,0.0
8,18,1,0,0.0
8,19,1,0,0.0
9,4,299,150,0.5016722408026756
9,5,223,54,0.242152466367713
9,2,381,381,1.0
9,3,379,307,0.8100263852242744
9,6,179,19,0.10614525139664804
9,8,74,6,0.08108108108108109
9,7,111,3,0.02702702702702703
9,18,2,0,0.0
9,14,9,0,0.0
9,9,58,4,0.06896551724137931
9,11,19,2,0.10526315789473684
9,12,20,0,0.0
9,10,29,2,0.06896551724137931
9,13,9,1,0.1111111111111111
9,17,4,0,0.0
9,15,6,1,0.16666666666666666
9,16,2,0,0.0
9,21,1,0,0.0
9,23,2,0,0.0
9,25,1,0,0.0
9,38,1,0,0.0
9,28,1,0,0.0
10,3,365,315,0.863013698630137
10,5,233,59,0.2532188841201717
10,4,302,142,0.47019867549668876
10,6,146,22,0.1506849315068493
10,2,343,343,1.0
10,7,106,9,0.08490566037735849
10,18,3,0,0.0
10,14,10,0,0.0
10,8,57,5,0.08771929824561403
10,10,34,2,0.058823529411764705
10,11,29,4,0.13793103448275862
10,9,49,2,0.04081632653061224
10,12,12,0,0.0
10,16,3,0,0.0
10,17,4,0,0.0
10,13,8,1,0.125
10,30,1,0,0.0
10,15,6,0,0.0
10,19,1,0,0.0
10,23,2,0,0.0
10,20,1,0,0.0
