iter,utterance_length,nb_utterances,produced,production_score
1,2,820,820,1.0
1,3,643,525,0.8164852255054432
1,4,544,261,0.4797794117647059
1,6,221,30,0.13574660633484162
1,5,418,110,0.2631578947368421
1,7,120,6,0.05
1,9,56,4,0.07142857142857142
1,8,71,4,0.056338028169014086
1,13,6,0,0.0
1,10,25,0,0.0
1,19,1,0,0.0
1,11,16,3,0.1875
1,15,1,0,0.0
1,12,10,2,0.2
1,17,1,0,0.0
1,14,2,0,0.0
1,16,2,0,0.0
1,20,1,0,0.0
2,2,810,810,1.0
2,3,666,555,0.8333333333333334
2,4,621,276,0.4444444444444444
2,5,394,104,0.2639593908629442
2,6,227,31,0.13656387665198239
2,7,116,6,0.05172413793103448
2,8,69,2,0.028985507246376812
2,10,23,0,0.0
2,9,47,4,0.0851063829787234
2,20,2,0,0.0
2,11,14,0,0.0
2,12,10,1,0.1
2,13,11,0,0.0
2,14,5,0,0.0
2,17,2,0,0.0
2,15,2,0,0.0
2,16,1,0,0.0
2,21,1,0,0.0
3,4,557,259,0.4649910233393178
3,2,754,754,1.0
3,3,700,565,0.8071428571428572
3,5,379,102,0.2691292875989446
3,6,247,28,0.11336032388663968
3,9,53,4,0.07547169811320754
3,7,136,8,0.058823529411764705
3,10,20,1,0.05
3,8,72,5,0.06944444444444445
3,13,12,2,0.16666666666666666
3,12,17,2,0.11764705882352941
3,11,10,1,0.1
3,15,2,0,0.0
3,20,2,1,0.5
3,17,2,0,0.0
3,16,1,0,0.0
3,21,1,0,0.0
3,14,1,0,0.0
4,4,567,270,0.47619047619047616
4,2,772,772,1.0
4,3,681,570,0.8370044052863436
4,5,412,98,0.23786407766990292
4,6,227,29,0.1277533039647577
4,9,61,4,0.06557377049180328
4,7,124,8,0.06451612903225806
4,8,73,3,0.0410958904109589
4,11,12,0,0.0
4,10,28,1,0.03571428571428571
4,20,4,1,0.25
4,12,11,0,0.0
4,13,9,0,0.0
4,14,7,0,0.0
4,15,2,0,0.0
4,17,1,0,0.0
4,16,1,0,0.0
4,19,1,1,1.0
5,2,807,807,1.0
5,4,566,269,0.4752650176678445
5,3,684,570,0.8333333333333334
5,5,372,100,0.26881720430107525
5,9,44,4,0.09090909090909091
5,6,243,30,0.12345679012345678
5,8,70,5,0.07142857142857142
5,10,21,1,0.047619047619047616
5,7,124,9,0.07258064516129033
5,11,13,0,0.0
5,13,10,2,0.2
5,17,3,0,0.0
5,20,2,1,0.5
5,14,6,0,0.0
5,19,2,1,0.5
5,12,10,1,0.1
5,15,2,0,0.0
5,16,2,0,0.0
5,21,1,0,0.0
6,2,808,808,1.0
6,4,583,277,0.4751286449399657
6,3,667,534,0.800599700149925
6,5,394,105,0.26649746192893403
6,6,244,26,0.10655737704918032
6,7,126,11,0.0873015873015873
6,8,72,7,0.09722222222222222
6,9,44,3,0.06818181818181818
6,11,10,0,0.0
6,13,12,0,0.0
6,10,25,1,0.04
6,20,2,0,0.0
6,14,8,0,0.0
6,19,2,1,0.5
6,12,11,1,0.09090909090909091
6,15,2,0,0.0
6,17,3,0,0.0
6,16,2,0,0.0
7,2,807,807,1.0
7,4,555,266,0.47927927927927927
7,3,702,572,0.8148148148148148
7,5,404,99,0.24504950495049505
7,6,212,29,0.13679245283018868
7,10,26,1,0.038461538461538464
7,7,122,6,0.04918032786885246
7,9,55,4,0.07272727272727272
7,8,79,4,0.05063291139240506
7,11,18,2,0.1111111111111111
7,14,4,0,0.0
7,19,2,1,0.5
7,13,12,1,0.08333333333333333
7,12,8,0,0.0
7,17,2,0,0.0
7,15,1,0,0.0
7,21,1,0,0.0
8,2,788,788,1.0
8,4,560,271,0.48392857142857143
8,3,719,574,0.7983310152990264
8,6,235,36,0.15319148936170213
8,5,366,105,0.28688524590163933
8,7,120,6,0.05
8,9,47,4,0.0851063829787234
8,10,33,0,0.0
8,8,77,2,0.025974025974025976
8,13,8,0,0.0
8,17,4,0,0.0
8,11,12,2,0.16666666666666666
8,12,12,2,0.16666666666666666
8,16,2,0,0.0
8,15,1,0,0.0
8,20,1,1,1.0
8,19,1,1,1.0
8,14,3,0,0.0
9,2,780,780,1.0
9,4,561,269,0.47950089126559714
9,3,705,585,0.8297872340425532
9,5,400,98,0.245
9,9,55,5,0.09090909090909091
9,6,223,26,0.11659192825112108
9,7,131,6,0.04580152671755725
9,8,72,8,0.1111111111111111
9,17,2,0,0.0
9,10,21,0,0.0
9,20,2,0,0.0
9,14,4,0,0.0
9,11,11,0,0.0
9,12,15,1,0.06666666666666667
9,13,9,1,0.1111111111111111
9,16,2,0,0.0
9,19,1,1,1.0
9,15,2,0,0.0
10,2,796,796,1.0
10,3,700,576,0.8228571428571428
10,4,554,281,0.5072202166064982
10,5,396,102,0.25757575757575757
10,7,134,8,0.05970149253731343
10,9,53,3,0.05660377358490566
10,6,252,25,0.0992063492063492
10,8,67,5,0.07462686567164178
10,11,15,0,0.0
10,17,1,0,0.0
10,10,31,0,0.0
10,20,3,0,0.0
10,19,1,0,0.0
10,12,12,2,0.16666666666666666
10,14,4,0,0.0
10,15,2,0,0.0
10,13,7,1,0.14285714285714285
10,16,1,0,0.0
