iter,utterance_length,nb_utterances,produced,production_score
1,4,1046,537,0.5133843212237094
1,2,1419,1419,1.0
1,3,1518,1176,0.7747035573122529
1,5,554,156,0.2815884476534296
1,6,262,40,0.15267175572519084
1,8,54,9,0.16666666666666666
1,7,123,8,0.06504065040650407
1,10,16,1,0.0625
1,12,4,1,0.25
1,9,22,1,0.045454545454545456
1,11,3,1,0.3333333333333333
1,13,4,0,0.0
1,14,1,0,0.0
1,15,1,0,0.0
2,4,972,499,0.5133744855967078
2,2,1410,1410,1.0
2,3,1459,1144,0.7840986977381769
2,5,577,158,0.2738301559792028
2,6,222,34,0.15315315315315314
2,7,129,19,0.14728682170542637
2,8,53,8,0.1509433962264151
2,10,19,3,0.15789473684210525
2,9,33,1,0.030303030303030304
2,11,5,1,0.2
2,13,3,1,0.3333333333333333
2,12,2,0,0.0
2,14,2,1,0.5
2,17,1,1,1.0
2,25,1,0,0.0
3,4,1047,550,0.5253104106972302
3,2,1412,1412,1.0
3,3,1432,1126,0.7863128491620112
3,5,572,154,0.2692307692307692
3,6,248,39,0.15725806451612903
3,7,121,10,0.08264462809917356
3,8,45,7,0.15555555555555556
3,10,14,2,0.14285714285714285
3,9,29,1,0.034482758620689655
3,11,3,0,0.0
3,12,2,0,0.0
3,13,5,1,0.2
3,14,3,2,0.6666666666666666
3,17,1,1,1.0
3,15,1,0,0.0
4,4,1001,522,0.5214785214785215
4,2,1439,1439,1.0
4,3,1459,1125,0.7710760795065114
4,5,578,163,0.2820069204152249
4,7,121,5,0.04132231404958678
4,6,234,37,0.1581196581196581
4,9,36,2,0.05555555555555555
4,8,50,5,0.1
4,10,15,1,0.06666666666666667
4,11,10,1,0.1
4,13,1,1,1.0
4,12,3,0,0.0
4,14,2,2,1.0
4,17,1,1,1.0
5,4,1023,539,0.5268817204301075
5,2,1444,1444,1.0
5,3,1512,1175,0.7771164021164021
5,5,565,136,0.2407079646017699
5,6,251,39,0.1553784860557769
5,7,128,16,0.125
5,8,50,6,0.12
5,9,27,0,0.0
5,11,9,0,0.0
5,10,16,1,0.0625
5,12,3,0,0.0
5,13,3,1,0.3333333333333333
5,14,3,2,0.6666666666666666
5,25,1,0,0.0
6,4,1037,523,0.5043394406943105
6,2,1406,1406,1.0
6,3,1461,1147,0.78507871321013
6,5,571,151,0.26444833625218916
6,7,124,9,0.07258064516129033
6,6,263,49,0.18631178707224336
6,8,58,6,0.10344827586206896
6,9,28,0,0.0
6,10,17,2,0.11764705882352941
6,12,5,1,0.2
6,11,6,0,0.0
6,13,4,1,0.25
6,14,4,1,0.25
7,4,1058,564,0.5330812854442344
7,2,1440,1440,1.0
7,3,1450,1133,0.7813793103448275
7,5,544,153,0.28125
7,6,248,46,0.18548387096774194
7,7,113,9,0.07964601769911504
7,8,51,8,0.1568627450980392
7,9,29,1,0.034482758620689655
7,10,12,2,0.16666666666666666
7,12,4,0,0.0
7,13,2,1,0.5
7,11,5,1,0.2
7,18,1,0,0.0
7,25,1,0,0.0
8,4,1010,515,0.5099009900990099
8,2,1438,1438,1.0
8,3,1508,1173,0.7778514588859416
8,5,581,168,0.2891566265060241
8,7,135,14,0.1037037037037037
8,6,248,53,0.21370967741935484
8,8,56,8,0.14285714285714285
8,9,29,0,0.0
8,12,5,1,0.2
8,10,9,1,0.1111111111111111
8,11,8,0,0.0
8,13,1,0,0.0
8,14,4,1,0.25
8,18,1,0,0.0
8,25,1,0,0.0
8,15,1,0,0.0
9,4,1034,530,0.5125725338491296
9,2,1421,1421,1.0
9,3,1434,1120,0.7810320781032078
9,5,560,167,0.2982142857142857
9,7,118,9,0.07627118644067797
9,6,243,39,0.16049382716049382
9,8,47,5,0.10638297872340426
9,10,12,1,0.08333333333333333
9,9,33,1,0.030303030303030304
9,11,6,0,0.0
9,13,3,0,0.0
9,12,2,0,0.0
9,14,1,1,1.0
9,17,1,1,1.0
9,25,1,0,0.0
10,4,1016,506,0.49803149606299213
10,2,1450,1450,1.0
10,3,1504,1182,0.785904255319149
10,5,544,153,0.28125
10,7,122,9,0.07377049180327869
10,6,265,39,0.1471698113207547
10,8,39,3,0.07692307692307693
10,9,32,0,0.0
10,10,11,1,0.09090909090909091
10,12,5,1,0.2
10,11,5,0,0.0
10,18,1,0,0.0
10,15,1,0,0.0
