iter,utterance_length,nb_utterances,produced,production_score
1,2,32,32,1.0
1,3,5,4,0.8
1,4,4,2,0.5
1,5,1,1,1.0
2,2,32,32,1.0
2,3,9,8,0.8888888888888888
2,4,4,0,0.0
2,5,2,0,0.0
3,2,32,32,1.0
3,3,6,5,0.8333333333333334
3,4,3,2,0.6666666666666666
3,6,1,0,0.0
4,3,6,5,0.8333333333333334
4,4,5,1,0.2
4,2,30,30,1.0
4,5,1,0,0.0
5,2,24,24,1.0
5,3,9,8,0.8888888888888888
5,4,2,1,0.5
5,6,1,0,0.0
6,2,25,25,1.0
6,4,5,2,0.4
6,3,9,8,0.8888888888888888
6,5,3,1,0.3333333333333333
6,6,1,0,0.0
7,2,32,32,1.0
7,3,12,11,0.9166666666666666
7,4,2,1,0.5
7,5,2,0,0.0
7,6,1,0,0.0
8,2,27,27,1.0
8,3,10,9,0.9
8,4,3,1,0.3333333333333333
8,5,3,0,0.0
9,2,37,37,1.0
9,3,10,9,0.9
9,4,4,0,0.0
9,5,2,0,0.0
10,2,32,32,1.0
10,3,12,12,1.0
10,4,3,1,0.3333333333333333
10,5,1,0,0.0
10,6,1,0,0.0
