iter,utterance_length,nb_utterances,produced,production_score
1,2,2642,1999,0.7566237698713096
1,4,5017,1214,0.2419772772573251
1,3,4283,2109,0.49241186084520194
1,5,4771,583,0.12219660448543282
1,8,1804,12,0.0066518847006651885
1,9,1119,3,0.002680965147453083
1,7,2649,64,0.024160060400151
1,6,3655,166,0.0454172366621067
1,11,484,1,0.002066115702479339
1,16,74,0,0.0
1,13,226,0,0.0
1,12,300,1,0.0033333333333333335
1,10,750,3,0.004
1,14,135,1,0.007407407407407408
1,36,1,0,0.0
1,15,106,0,0.0
1,17,42,0,0.0
1,18,35,0,0.0
1,25,4,0,0.0
1,19,16,0,0.0
1,22,4,0,0.0
1,26,1,0,0.0
1,23,8,0,0.0
1,20,15,0,0.0
1,21,10,0,0.0
1,41,1,0,0.0
1,24,3,0,0.0
1,31,1,0,0.0
1,30,3,0,0.0
1,37,1,0,0.0
1,27,4,0,0.0
1,59,1,0,0.0
