iter,utterance_length,nb_utterances,produced,production_score
1,2,9220,6128,0.6646420824295011
1,3,9084,3491,0.3843020695728754
1,6,3203,184,0.05744614423977521
1,4,7033,1385,0.1969287643964169
1,7,1821,57,0.03130148270181219
1,5,4884,480,0.09828009828009827
1,8,1051,20,0.019029495718363463
1,12,123,0,0.0
1,9,575,3,0.0052173913043478265
1,11,168,0,0.0
1,10,352,0,0.0
1,14,44,2,0.045454545454545456
1,13,59,1,0.01694915254237288
1,25,1,0,0.0
1,15,22,0,0.0
1,20,3,0,0.0
1,18,8,0,0.0
1,17,6,0,0.0
1,19,5,0,0.0
1,16,15,0,0.0
1,44,1,0,0.0
1,22,1,0,0.0
1,21,1,0,0.0
1,27,1,0,0.0
1,23,1,0,0.0
