iter,utterance_length,nb_utterances,produced,production_score
1,3,3269,1311,0.4010400734169471
1,4,1842,451,0.24484256243213898
1,2,5371,3667,0.6827406442003351
1,7,320,21,0.065625
1,5,991,130,0.1311806256306761
1,8,188,13,0.06914893617021277
1,6,546,48,0.08791208791208792
1,14,9,2,0.2222222222222222
1,11,23,3,0.13043478260869565
1,12,28,1,0.03571428571428571
1,10,47,3,0.06382978723404255
1,9,88,3,0.03409090909090909
1,17,5,0,0.0
1,13,11,0,0.0
1,21,2,0,0.0
1,15,10,0,0.0
1,22,1,0,0.0
1,25,1,0,0.0
1,23,2,0,0.0
1,16,1,0,0.0
1,27,2,0,0.0
1,31,1,0,0.0
1,20,2,0,0.0
