iter,utterance_length,nb_utterances,produced,production_score
1,3,963,378,0.3925233644859813
1,2,897,646,0.7201783723522854
1,4,812,173,0.21305418719211822
1,7,291,15,0.05154639175257732
1,6,504,19,0.037698412698412696
1,5,674,85,0.1261127596439169
1,9,152,1,0.006578947368421052
1,12,40,0,0.0
1,8,207,1,0.004830917874396135
1,10,97,0,0.0
1,13,27,0,0.0
1,11,67,0,0.0
1,21,1,0,0.0
1,14,23,0,0.0
1,15,22,0,0.0
1,39,1,0,0.0
1,16,12,0,0.0
1,22,1,0,0.0
1,17,5,0,0.0
1,30,1,0,0.0
1,29,1,0,0.0
1,18,3,0,0.0
1,20,4,0,0.0
1,19,2,0,0.0
1,23,1,0,0.0
