iter,utterance_length,nb_utterances,produced,production_score
1,2,4818,3516,0.7297633872976339
1,7,844,28,0.03317535545023697
1,3,4043,1775,0.4390304229532525
1,9,345,2,0.005797101449275362
1,4,3118,813,0.2607440667094291
1,16,34,1,0.029411764705882353
1,12,120,2,0.016666666666666666
1,5,2142,269,0.12558356676003735
1,8,550,18,0.03272727272727273
1,6,1381,96,0.06951484431571325
1,15,52,0,0.0
1,10,228,2,0.008771929824561403
1,23,5,0,0.0
1,11,162,1,0.006172839506172839
1,14,70,1,0.014285714285714285
1,18,13,0,0.0
1,13,77,0,0.0
1,22,6,0,0.0
1,20,9,0,0.0
1,19,15,0,0.0
1,17,20,0,0.0
1,32,1,0,0.0
1,21,12,0,0.0
1,28,5,0,0.0
1,33,1,0,0.0
1,35,1,0,0.0
1,24,4,0,0.0
1,27,3,0,0.0
1,30,2,0,0.0
1,25,2,0,0.0
1,37,1,0,0.0
1,26,2,0,0.0
