iter,utterance_length,nb_utterances,produced,production_score
1,2,1558,1079,0.6925545571245186
1,3,1408,539,0.3828125
1,6,671,47,0.07004470938897168
1,4,1127,266,0.2360248447204969
1,5,845,103,0.12189349112426036
1,7,530,17,0.03207547169811321
1,8,357,5,0.014005602240896359
1,13,70,0,0.0
1,9,256,0,0.0
1,11,148,0,0.0
1,12,105,0,0.0
1,15,55,0,0.0
1,16,38,0,0.0
1,14,55,0,0.0
1,10,183,0,0.0
1,18,19,0,0.0
1,17,29,0,0.0
1,19,22,0,0.0
1,20,12,0,0.0
1,45,1,0,0.0
1,32,2,0,0.0
1,22,8,0,0.0
1,36,1,0,0.0
1,21,16,0,0.0
1,29,4,0,0.0
1,27,6,0,0.0
1,35,1,0,0.0
1,23,14,0,0.0
1,25,9,0,0.0
1,26,11,0,0.0
1,34,4,0,0.0
1,48,1,0,0.0
1,30,4,0,0.0
1,52,1,0,0.0
1,40,1,0,0.0
1,63,2,0,0.0
1,56,1,0,0.0
1,33,3,0,0.0
1,39,3,0,0.0
1,31,2,0,0.0
1,24,3,0,0.0
1,55,1,0,0.0
1,38,4,0,0.0
1,37,3,0,0.0
1,41,1,0,0.0
1,28,1,0,0.0
1,43,1,0,0.0
1,47,1,0,0.0
1,80,1,0,0.0
