iter,utterance_length,nb_utterances,produced,production_score
1,4,1718,409,0.23806752037252618
1,5,913,100,0.10952902519167579
1,2,4027,2883,0.7159175564936677
1,3,3097,1319,0.4258960284145948
1,6,434,22,0.05069124423963134
1,9,83,0,0.0
1,13,10,0,0.0
1,11,24,0,0.0
1,8,130,1,0.007692307692307693
1,7,215,4,0.018604651162790697
1,12,15,0,0.0
1,10,40,0,0.0
1,16,3,0,0.0
1,19,1,0,0.0
1,14,8,0,0.0
1,18,7,1,0.14285714285714285
1,15,3,0,0.0
1,17,3,0,0.0
1,22,2,0,0.0
1,20,1,0,0.0
1,21,2,0,0.0
1,36,1,0,0.0
1,23,1,0,0.0
