iter,utterance_length,nb_utterances,produced,production_score
1,2,4307,2856,0.6631065706988624
1,4,3398,772,0.2271924661565627
1,3,4371,1914,0.4378860672614962
1,6,1488,101,0.0678763440860215
1,5,2359,300,0.1271725307333616
1,8,533,12,0.0225140712945591
1,7,924,23,0.024891774891774892
1,9,412,7,0.01699029126213592
1,11,172,1,0.005813953488372093
1,14,72,1,0.013888888888888888
1,17,23,0,0.0
1,10,243,1,0.00411522633744856
1,18,21,0,0.0
1,16,42,0,0.0
1,13,86,0,0.0
1,12,103,0,0.0
1,19,12,0,0.0
1,15,49,0,0.0
1,21,8,0,0.0
1,20,11,1,0.09090909090909091
1,26,2,0,0.0
1,34,1,0,0.0
1,31,1,0,0.0
1,32,1,0,0.0
1,25,2,0,0.0
1,22,6,0,0.0
1,33,1,0,0.0
1,29,1,0,0.0
1,24,1,0,0.0
1,28,1,0,0.0
1,23,2,0,0.0
