iter,utterance_length,nb_utterances,produced,production_score
1,2,2443,1828,0.7482603356528857
1,5,2380,383,0.16092436974789917
1,3,2938,1465,0.49863852961198096
1,4,2864,833,0.29085195530726254
1,6,1827,146,0.07991242474001095
1,7,1322,54,0.04084720121028744
1,10,556,1,0.0017985611510791368
1,8,946,17,0.017970401691331923
1,9,720,3,0.004166666666666667
1,15,149,0,0.0
1,12,355,0,0.0
1,13,256,0,0.0
1,11,404,1,0.0024752475247524753
1,17,86,0,0.0
1,19,63,0,0.0
1,27,16,0,0.0
1,24,24,0,0.0
1,14,197,0,0.0
1,20,44,0,0.0
1,18,85,0,0.0
1,16,129,0,0.0
1,22,31,0,0.0
1,34,7,0,0.0
1,31,9,0,0.0
1,30,6,0,0.0
1,21,36,0,0.0
1,25,15,0,0.0
1,42,2,0,0.0
1,39,5,0,0.0
1,35,5,0,0.0
1,40,1,0,0.0
1,26,17,0,0.0
1,33,5,0,0.0
1,32,10,0,0.0
1,28,12,0,0.0
1,29,7,0,0.0
1,23,27,0,0.0
1,46,2,0,0.0
1,37,1,0,0.0
1,36,1,0,0.0
1,43,1,0,0.0
1,52,1,0,0.0
1,41,1,0,0.0
1,38,1,0,0.0
1,51,3,0,0.0
1,50,1,0,0.0
1,71,1,0,0.0
1,45,1,0,0.0
1,60,1,0,0.0
