iter,utterance_length,nb_utterances,produced,production_score
1,2,6844,5004,0.7311513734658095
1,3,6040,2765,0.45778145695364236
1,5,2923,347,0.11871365035921998
1,4,4226,988,0.23379081874112637
1,6,1699,112,0.0659211300765156
1,11,84,1,0.011904761904761904
1,7,936,30,0.03205128205128205
1,8,450,12,0.02666666666666667
1,9,270,3,0.011111111111111112
1,10,162,2,0.012345679012345678
1,12,60,1,0.016666666666666666
1,14,22,0,0.0
1,13,35,0,0.0
1,22,5,0,0.0
1,15,18,0,0.0
1,16,9,0,0.0
1,17,9,0,0.0
1,24,3,0,0.0
1,20,5,0,0.0
1,18,7,0,0.0
1,28,1,0,0.0
1,19,2,0,0.0
1,21,3,0,0.0
1,25,1,0,0.0
