iter,utterance_length,nb_utterances,produced,production_score
1,2,2030,1448,0.7133004926108374
1,3,2070,846,0.40869565217391307
1,5,1401,124,0.08850820842255532
1,4,1809,413,0.2283029297954671
1,6,1119,45,0.040214477211796246
1,7,769,20,0.02600780234070221
1,8,535,7,0.013084112149532711
1,13,164,0,0.0
1,12,187,0,0.0
1,26,10,0,0.0
1,9,453,3,0.006622516556291391
1,10,294,0,0.0
1,14,118,0,0.0
1,11,229,0,0.0
1,22,19,0,0.0
1,28,6,0,0.0
1,15,84,0,0.0
1,16,77,0,0.0
1,20,35,1,0.02857142857142857
1,18,45,0,0.0
1,19,34,0,0.0
1,17,57,1,0.017543859649122806
1,27,8,0,0.0
1,23,19,0,0.0
1,31,4,0,0.0
1,21,24,0,0.0
1,33,2,0,0.0
1,25,12,0,0.0
1,42,1,0,0.0
1,29,9,0,0.0
1,37,3,0,0.0
1,34,2,0,0.0
1,24,12,0,0.0
1,30,8,0,0.0
1,36,3,0,0.0
1,32,5,0,0.0
1,41,2,0,0.0
1,49,1,0,0.0
1,40,2,0,0.0
1,39,1,0,0.0
1,55,1,0,0.0
1,38,1,0,0.0
1,46,1,0,0.0
1,67,1,0,0.0
1,48,1,0,0.0
1,35,1,0,0.0
