iter,utterance_length,nb_utterances,produced,production_score
1,3,940,359,0.3819148936170213
1,4,692,126,0.18208092485549132
1,5,504,43,0.08531746031746032
1,2,994,695,0.6991951710261569
1,6,363,15,0.04132231404958678
1,8,147,2,0.013605442176870748
1,9,114,0,0.0
1,11,50,0,0.0
1,7,238,7,0.029411764705882353
1,16,6,0,0.0
1,13,21,0,0.0
1,12,30,0,0.0
1,10,62,0,0.0
1,14,22,0,0.0
1,22,2,0,0.0
1,15,8,0,0.0
1,24,2,0,0.0
1,17,9,0,0.0
1,25,1,0,0.0
1,21,3,0,0.0
1,29,1,0,0.0
1,26,2,0,0.0
1,27,1,0,0.0
1,19,2,0,0.0
1,20,3,0,0.0
1,28,1,0,0.0
1,18,3,0,0.0
1,34,1,0,0.0
1,23,1,0,0.0
