iter,utterance_length,nb_utterances,produced,production_score
1,2,2533,2533,1.0
1,4,4960,2579,0.5199596774193549
1,3,4118,3256,0.7906750849927149
1,5,4787,1453,0.3035303948193023
1,8,1835,66,0.03596730245231607
1,9,1181,24,0.02032176121930567
1,12,321,1,0.003115264797507788
1,7,2727,233,0.08544187752108544
1,6,3789,635,0.1675903932435999
1,11,497,2,0.004024144869215292
1,16,79,0,0.0
1,13,251,0,0.0
1,10,792,3,0.003787878787878788
1,14,134,1,0.007462686567164179
1,15,116,0,0.0
1,36,1,0,0.0
1,17,45,0,0.0
1,18,38,0,0.0
1,27,5,0,0.0
1,19,19,0,0.0
1,22,4,0,0.0
1,26,2,0,0.0
1,23,8,0,0.0
1,20,10,0,0.0
1,21,15,0,0.0
1,41,1,0,0.0
1,24,3,0,0.0
1,32,1,0,0.0
1,25,3,0,0.0
1,30,3,0,0.0
1,39,1,0,0.0
1,60,1,0,0.0
1,28,1,0,0.0
