iter,utterance_length,nb_utterances,produced,production_score
1,2,9215,9215,1.0
1,3,9152,6465,0.706402972027972
1,6,3306,507,0.15335753176043557
1,4,7172,3088,0.4305633017289459
1,7,1902,146,0.07676130389064142
1,5,5038,1260,0.25009924573243353
1,8,1107,39,0.03523035230352303
1,12,127,1,0.007874015748031496
1,9,608,10,0.01644736842105263
1,11,186,1,0.005376344086021506
1,10,361,1,0.002770083102493075
1,14,46,2,0.043478260869565216
1,13,67,1,0.014925373134328358
1,25,1,0,0.0
1,15,27,0,0.0
1,21,4,0,0.0
1,18,7,0,0.0
1,17,7,0,0.0
1,16,17,0,0.0
1,20,4,0,0.0
1,44,1,0,0.0
1,22,2,0,0.0
1,19,5,0,0.0
1,30,1,0,0.0
1,24,1,0,0.0
