iter,utterance_length,nb_utterances,produced,production_score
1,3,3269,2241,0.6855307433465891
1,4,1875,823,0.43893333333333334
1,2,5373,5373,1.0
1,7,319,35,0.109717868338558
1,5,995,277,0.27839195979899495
1,8,187,16,0.0855614973262032
1,6,559,95,0.16994633273703041
1,14,13,1,0.07692307692307693
1,11,24,4,0.16666666666666666
1,12,30,1,0.03333333333333333
1,10,47,4,0.0851063829787234
1,9,94,5,0.05319148936170213
1,17,5,0,0.0
1,13,12,0,0.0
1,21,2,0,0.0
1,15,9,0,0.0
1,22,1,0,0.0
1,16,3,1,0.3333333333333333
1,25,1,0,0.0
1,23,2,0,0.0
1,27,2,0,0.0
1,31,1,0,0.0
1,20,2,0,0.0
