iter,utterance_length,nb_utterances,produced,production_score
1,3,948,773,0.8154008438818565
1,2,893,893,1.0
1,4,826,425,0.5145278450363197
1,8,212,5,0.02358490566037736
1,6,505,82,0.16237623762376238
1,5,688,212,0.3081395348837209
1,7,303,19,0.0627062706270627
1,9,167,2,0.011976047904191617
1,13,32,0,0.0
1,10,98,0,0.0
1,12,45,0,0.0
1,11,69,0,0.0
1,21,2,0,0.0
1,14,21,0,0.0
1,15,22,0,0.0
1,39,1,0,0.0
1,16,16,0,0.0
1,22,1,0,0.0
1,17,6,0,0.0
1,32,1,0,0.0
1,30,1,0,0.0
1,19,3,0,0.0
1,23,2,0,0.0
1,18,3,0,0.0
1,20,3,0,0.0
