iter,utterance_length,nb_utterances,produced,production_score
1,2,8002,8002,1.0
1,3,9346,7842,0.8390755403381126
1,4,8278,4970,0.6003865668035757
1,5,5582,2456,0.43998566821927626
1,6,3251,961,0.29560135342971394
1,10,228,6,0.02631578947368421
1,7,1747,344,0.19690898683457356
1,8,900,80,0.08888888888888889
1,9,426,26,0.06103286384976526
1,11,134,3,0.022388059701492536
1,15,17,0,0.0
1,12,82,1,0.012195121951219513
1,19,3,0,0.0
1,13,41,0,0.0
1,14,28,0,0.0
1,20,2,0,0.0
1,16,9,0,0.0
1,18,6,0,0.0
1,17,6,0,0.0
1,22,1,0,0.0
1,23,1,0,0.0
1,21,3,0,0.0
1,30,2,0,0.0
