iter,utterance_length,nb_utterances,produced,production_score
1,2,1558,1558,1.0
1,3,1409,1129,0.801277501774308
1,6,669,134,0.20029895366218237
1,4,1124,588,0.5231316725978647
1,5,861,271,0.3147502903600465
1,7,533,48,0.0900562851782364
1,8,359,15,0.04178272980501393
1,13,72,0,0.0
1,9,256,3,0.01171875
1,11,146,0,0.0
1,12,107,1,0.009345794392523364
1,15,58,0,0.0
1,16,35,0,0.0
1,10,188,3,0.015957446808510637
1,18,21,0,0.0
1,14,52,0,0.0
1,17,32,0,0.0
1,19,21,0,0.0
1,20,13,0,0.0
1,45,2,0,0.0
1,32,3,0,0.0
1,22,9,0,0.0
1,36,1,0,0.0
1,29,4,0,0.0
1,21,16,0,0.0
1,27,9,0,0.0
1,35,1,0,0.0
1,23,14,0,0.0
1,25,7,0,0.0
1,34,4,0,0.0
1,49,1,0,0.0
1,31,2,0,0.0
1,55,2,0,0.0
1,41,3,0,0.0
1,28,3,0,0.0
1,26,8,0,0.0
1,63,1,0,0.0
1,56,1,0,0.0
1,33,2,0,0.0
1,40,1,0,0.0
1,24,4,0,0.0
1,30,3,0,0.0
1,64,1,0,0.0
1,38,6,0,0.0
1,37,2,0,0.0
1,39,1,0,0.0
1,48,1,0,0.0
1,80,1,0,0.0
