iter,utterance_length,nb_utterances,produced,production_score
1,3,3166,2338,0.7384712571067593
1,4,1793,873,0.486893474623536
1,5,940,256,0.2723404255319149
1,2,4041,4041,1.0
1,6,478,66,0.13807531380753138
1,7,237,24,0.10126582278481013
1,9,89,0,0.0
1,13,13,0,0.0
1,11,33,1,0.030303030303030304
1,8,134,5,0.03731343283582089
1,12,15,0,0.0
1,10,44,0,0.0
1,16,4,0,0.0
1,19,3,0,0.0
1,14,11,0,0.0
1,18,4,1,0.25
1,17,6,1,0.16666666666666666
1,22,5,0,0.0
1,20,1,0,0.0
1,21,1,0,0.0
1,15,4,0,0.0
1,38,1,0,0.0
1,23,1,0,0.0
