iter,utterance_length,nb_utterances,produced,production_score
1,2,5378,5378,1.0
1,3,5763,4714,0.8179767482214124
1,4,4066,2221,0.5462370880472208
1,5,2775,963,0.34702702702702704
1,7,1128,150,0.13297872340425532
1,8,573,34,0.059336823734729496
1,6,1724,371,0.21519721577726217
1,9,320,9,0.028125
1,10,190,2,0.010526315789473684
1,13,39,0,0.0
1,12,75,1,0.013333333333333334
1,15,14,0,0.0
1,11,104,0,0.0
1,14,40,1,0.025
1,19,9,0,0.0
1,25,5,0,0.0
1,17,9,0,0.0
1,18,4,0,0.0
1,21,2,0,0.0
1,24,2,0,0.0
1,16,11,0,0.0
1,27,1,0,0.0
1,33,1,0,0.0
1,20,3,0,0.0
1,28,1,0,0.0
