iter,utterance_length,nb_utterances,produced,production_score
1,2,4303,4303,1.0
1,4,3423,1660,0.48495471808355245
1,3,4364,3407,0.7807057745187901
1,6,1493,253,0.16945746818486268
1,5,2375,690,0.2905263157894737
1,8,545,17,0.031192660550458717
1,7,943,59,0.06256627783669141
1,9,427,16,0.03747072599531616
1,10,238,3,0.012605042016806723
1,11,177,3,0.01694915254237288
1,14,83,1,0.012048192771084338
1,17,24,0,0.0
1,18,22,0,0.0
1,16,42,0,0.0
1,13,85,0,0.0
1,12,106,0,0.0
1,19,13,0,0.0
1,15,45,0,0.0
1,21,8,0,0.0
1,22,7,0,0.0
1,26,1,0,0.0
1,34,1,0,0.0
1,31,1,0,0.0
1,30,1,0,0.0
1,32,2,0,0.0
1,25,3,0,0.0
1,23,2,0,0.0
1,29,1,0,0.0
1,20,10,1,0.1
1,33,1,0,0.0
1,24,1,0,0.0
1,28,1,0,0.0
