iter,utterance_length,nb_utterances,produced,production_score
1,3,1653,1364,0.8251663641863279
1,2,1421,1421,1.0
1,4,1309,621,0.4744079449961803
1,5,997,309,0.30992978936810434
1,6,764,102,0.13350785340314136
1,9,263,1,0.0038022813688212928
1,7,522,33,0.06321839080459771
1,12,123,0,0.0
1,11,161,1,0.006211180124223602
1,8,383,15,0.0391644908616188
1,10,194,0,0.0
1,18,23,0,0.0
1,13,74,0,0.0
1,15,47,0,0.0
1,17,33,0,0.0
1,14,43,0,0.0
1,20,16,0,0.0
1,21,11,0,0.0
1,16,26,0,0.0
1,37,3,0,0.0
1,26,4,0,0.0
1,28,3,0,0.0
1,27,6,0,0.0
1,23,9,0,0.0
1,24,7,0,0.0
1,19,12,0,0.0
1,25,9,0,0.0
1,31,2,0,0.0
1,34,1,0,0.0
1,29,1,0,0.0
1,47,1,0,0.0
1,40,2,0,0.0
1,39,4,0,0.0
1,52,1,0,0.0
1,41,1,0,0.0
1,33,1,0,0.0
1,69,1,0,0.0
1,38,1,0,0.0
1,22,4,0,0.0
