iter,utterance_length,nb_utterances,produced,production_score
1,2,2415,2415,1.0
1,5,2405,762,0.31683991683991686
1,4,2869,1517,0.5287556639944232
1,3,2917,2318,0.7946520397668838
1,6,1842,344,0.18675352877307275
1,7,1365,135,0.0989010989010989
1,10,553,5,0.009041591320072333
1,8,963,62,0.06438213914849429
1,9,736,20,0.02717391304347826
1,11,411,2,0.004866180048661801
1,15,161,0,0.0
1,12,362,0,0.0
1,13,279,0,0.0
1,17,96,0,0.0
1,22,28,0,0.0
1,27,15,0,0.0
1,19,64,0,0.0
1,24,22,0,0.0
1,14,201,0,0.0
1,26,21,0,0.0
1,21,44,0,0.0
1,20,53,0,0.0
1,18,90,0,0.0
1,16,123,0,0.0
1,23,27,0,0.0
1,34,5,0,0.0
1,32,10,0,0.0
1,30,5,0,0.0
1,25,20,0,0.0
1,42,2,0,0.0
1,41,2,0,0.0
1,35,7,0,0.0
1,40,4,0,0.0
1,33,3,0,0.0
1,29,8,0,0.0
1,31,7,0,0.0
1,28,14,0,0.0
1,46,3,0,0.0
1,39,5,0,0.0
1,37,3,0,0.0
1,45,1,0,0.0
1,53,1,0,0.0
1,51,2,0,0.0
1,36,3,0,0.0
1,52,2,0,0.0
1,78,1,0,0.0
1,38,1,0,0.0
1,60,1,0,0.0
