iter,utterance_length,nb_utterances,produced,production_score
1,2,6876,6876,1.0
1,3,6029,4680,0.7762481340189086
1,5,2990,921,0.3080267558528428
1,4,4280,2106,0.49205607476635516
1,6,1761,324,0.1839863713798978
1,11,99,1,0.010101010101010102
1,7,966,107,0.11076604554865424
1,8,463,28,0.06047516198704104
1,9,262,6,0.022900763358778626
1,13,46,0,0.0
1,10,172,3,0.01744186046511628
1,12,55,1,0.01818181818181818
1,14,21,0,0.0
1,22,5,0,0.0
1,15,18,0,0.0
1,16,9,0,0.0
1,17,9,0,0.0
1,24,3,0,0.0
1,20,4,0,0.0
1,18,5,0,0.0
1,28,1,0,0.0
1,21,4,0,0.0
1,19,6,0,0.0
1,25,1,0,0.0
