iter,utterance_length,nb_utterances,produced,production_score
1,3,930,646,0.6946236559139785
1,5,577,93,0.1611785095320624
1,4,745,257,0.34496644295302015
1,2,913,913,1.0
1,6,426,46,0.107981220657277
1,8,190,6,0.031578947368421054
1,10,65,0,0.0
1,7,285,12,0.042105263157894736
1,12,44,0,0.0
1,18,4,0,0.0
1,14,27,0,0.0
1,15,15,0,0.0
1,9,129,2,0.015503875968992248
1,11,63,0,0.0
1,16,6,0,0.0
1,13,26,0,0.0
1,17,11,0,0.0
1,22,3,0,0.0
1,24,1,0,0.0
1,27,1,0,0.0
1,30,3,0,0.0
1,28,3,0,0.0
1,21,2,0,0.0
1,19,3,0,0.0
1,20,2,0,0.0
1,23,3,0,0.0
1,25,1,0,0.0
1,38,1,0,0.0
