iter,utterance_length,nb_utterances,produced,production_score
1,2,1038,1038,1.0
1,4,1990,1101,0.5532663316582914
1,3,1587,1277,0.8046628859483301
1,5,1877,647,0.34469898774640384
1,9,482,14,0.029045643153526972
1,7,1076,124,0.11524163568773234
1,6,1488,322,0.2163978494623656
1,8,742,25,0.03369272237196765
1,11,188,0,0.0
1,16,22,0,0.0
1,10,337,6,0.017804154302670624
1,14,62,1,0.016129032258064516
1,13,102,1,0.00980392156862745
1,12,126,0,0.0
1,36,1,0,0.0
1,17,14,0,0.0
1,27,2,0,0.0
1,18,10,0,0.0
1,22,2,0,0.0
1,19,7,0,0.0
1,23,2,0,0.0
1,15,47,0,0.0
1,20,4,0,0.0
1,24,1,0,0.0
1,21,7,0,0.0
1,32,1,0,0.0
1,25,3,0,0.0
1,30,2,0,0.0
1,26,1,0,0.0
1,28,1,0,0.0
