iter,utterance_length,nb_utterances,produced,production_score
1,2,3195,3195,1.0
1,3,3668,3071,0.8372410032715376
1,4,3287,2100,0.6388804380894433
1,5,2207,1005,0.4553692795650204
1,7,724,161,0.2223756906077348
1,6,1300,417,0.32076923076923075
1,8,329,37,0.11246200607902736
1,9,149,13,0.087248322147651
1,10,110,3,0.02727272727272727
1,11,57,3,0.05263157894736842
1,12,29,1,0.034482758620689655
1,15,6,0,0.0
1,19,1,0,0.0
1,16,4,0,0.0
1,18,2,0,0.0
1,13,12,2,0.16666666666666666
1,14,10,0,0.0
1,17,1,0,0.0
1,23,1,0,0.0
1,21,2,0,0.0
1,30,2,0,0.0
1,20,1,0,0.0
