iter,utterance_length,nb_utterances,produced,production_score
1,2,1950,1950,1.0
1,7,357,27,0.07563025210084033
1,3,1607,1275,0.7934038581207219
1,12,49,2,0.04081632653061224
1,4,1256,642,0.5111464968152867
1,5,902,238,0.2638580931263858
1,6,544,92,0.16911764705882354
1,8,236,13,0.05508474576271186
1,10,87,1,0.011494252873563218
1,9,145,2,0.013793103448275862
1,15,14,0,0.0
1,11,72,1,0.013888888888888888
1,14,21,0,0.0
1,18,4,0,0.0
1,16,13,1,0.07692307692307693
1,13,25,0,0.0
1,22,3,0,0.0
1,24,1,0,0.0
1,17,12,0,0.0
1,21,4,0,0.0
1,19,5,0,0.0
1,28,3,0,0.0
1,25,2,0,0.0
1,43,1,0,0.0
1,27,1,0,0.0
1,20,2,0,0.0
1,26,1,0,0.0
1,30,1,0,0.0
