iter,utterance_length,nb_utterances,produced,production_score
1,2,629,629,1.0
1,4,439,231,0.5261958997722096
1,3,536,430,0.8022388059701493
1,5,349,113,0.3237822349570201
1,6,261,56,0.21455938697318008
1,7,209,17,0.08133971291866028
1,8,139,6,0.04316546762589928
1,13,25,0,0.0
1,9,99,1,0.010101010101010102
1,11,59,0,0.0
1,12,39,0,0.0
1,16,18,0,0.0
1,10,74,2,0.02702702702702703
1,17,10,0,0.0
1,15,19,0,0.0
1,18,9,0,0.0
1,20,4,0,0.0
1,45,2,0,0.0
1,32,2,0,0.0
1,22,3,0,0.0
1,36,1,0,0.0
1,27,3,0,0.0
1,19,8,0,0.0
1,23,4,0,0.0
1,14,17,0,0.0
1,21,5,0,0.0
1,28,1,0,0.0
1,26,6,0,0.0
1,29,1,0,0.0
1,56,1,0,0.0
1,40,1,0,0.0
1,34,1,0,0.0
1,31,1,0,0.0
1,64,1,0,0.0
1,37,1,0,0.0
1,38,2,0,0.0
1,30,1,0,0.0
1,48,1,0,0.0
1,80,1,0,0.0
