iter,utterance_length,nb_utterances,produced,production_score
1,2,2109,2109,1.0
1,4,1600,795,0.496875
1,3,2361,1932,0.818297331639136
1,5,1078,315,0.2922077922077922
1,7,450,41,0.09111111111111111
1,6,682,109,0.1598240469208211
1,8,233,7,0.030042918454935622
1,9,113,2,0.017699115044247787
1,10,88,2,0.022727272727272728
1,13,15,0,0.0
1,12,33,0,0.0
1,11,29,0,0.0
1,19,5,0,0.0
1,25,1,0,0.0
1,15,7,0,0.0
1,14,19,1,0.05263157894736842
1,17,3,0,0.0
1,18,2,0,0.0
1,16,5,0,0.0
1,27,1,0,0.0
1,33,1,0,0.0
1,20,2,0,0.0
1,21,1,0,0.0
