iter,utterance_length,nb_utterances,produced,production_score
1,2,1718,1718,1.0
1,3,1738,1333,0.7669735327963176
1,6,597,101,0.16917922948073702
1,4,1376,644,0.4680232558139535
1,8,202,6,0.0297029702970297
1,9,173,9,0.05202312138728324
1,7,385,26,0.06753246753246753
1,5,968,314,0.3243801652892562
1,14,34,1,0.029411764705882353
1,17,12,0,0.0
1,10,91,1,0.01098901098901099
1,11,67,0,0.0
1,12,37,0,0.0
1,13,31,0,0.0
1,18,13,0,0.0
1,16,11,0,0.0
1,23,2,0,0.0
1,21,3,0,0.0
1,22,3,0,0.0
1,20,3,0,0.0
1,15,9,0,0.0
1,32,1,0,0.0
1,25,1,0,0.0
1,28,1,0,0.0
1,19,1,0,0.0
