iter,utterance_length,nb_utterances,produced,production_score
1,4,510,244,0.47843137254901963
1,3,667,549,0.823088455772114
1,2,590,590,1.0
1,5,371,113,0.3045822102425876
1,6,299,46,0.15384615384615385
1,9,105,1,0.009523809523809525
1,11,56,0,0.0
1,12,49,0,0.0
1,8,148,6,0.04054054054054054
1,7,225,21,0.09333333333333334
1,18,12,0,0.0
1,13,27,0,0.0
1,10,83,0,0.0
1,15,15,0,0.0
1,17,10,0,0.0
1,20,5,0,0.0
1,21,4,0,0.0
1,37,1,0,0.0
1,26,3,0,0.0
1,27,3,0,0.0
1,14,19,0,0.0
1,23,3,0,0.0
1,25,3,0,0.0
1,16,10,0,0.0
1,24,2,0,0.0
1,47,1,0,0.0
1,40,1,0,0.0
1,19,4,0,0.0
1,28,1,0,0.0
1,33,1,0,0.0
1,69,1,0,0.0
1,38,1,0,0.0
1,39,1,0,0.0
1,22,2,0,0.0
