iter,utterance_length,nb_utterances,produced,production_score
1,2,959,959,1.0
1,5,963,284,0.2949117341640706
1,4,1131,595,0.5260831122900088
1,3,1163,919,0.7901977644024075
1,6,775,145,0.1870967741935484
1,8,380,25,0.06578947368421052
1,7,564,43,0.07624113475177305
1,10,225,1,0.0044444444444444444
1,11,170,2,0.011764705882352941
1,9,305,4,0.013114754098360656
1,13,105,0,0.0
1,22,8,0,0.0
1,15,70,0,0.0
1,17,36,0,0.0
1,12,146,0,0.0
1,19,17,0,0.0
1,24,8,0,0.0
1,14,75,0,0.0
1,20,17,0,0.0
1,18,38,0,0.0
1,16,46,0,0.0
1,23,17,0,0.0
1,32,6,0,0.0
1,21,18,0,0.0
1,25,9,0,0.0
1,42,1,0,0.0
1,41,1,0,0.0
1,26,12,0,0.0
1,27,4,0,0.0
1,29,4,0,0.0
1,31,4,0,0.0
1,40,1,0,0.0
1,37,1,0,0.0
1,28,6,0,0.0
1,46,1,0,0.0
1,30,1,0,0.0
1,34,2,0,0.0
1,53,1,0,0.0
1,33,1,0,0.0
1,35,2,0,0.0
1,52,2,0,0.0
1,78,1,0,0.0
1,38,1,0,0.0
