iter,utterance_length,nb_utterances,produced,production_score
1,2,2711,2711,1.0
1,3,2415,1863,0.7714285714285715
1,5,1186,362,0.30522765598650925
1,4,1724,845,0.49013921113689096
1,6,735,121,0.16462585034013605
1,8,189,6,0.031746031746031744
1,7,418,44,0.10526315789473684
1,9,102,0,0.0
1,10,72,3,0.041666666666666664
1,11,39,1,0.02564102564102564
1,12,25,1,0.04
1,14,11,0,0.0
1,15,13,0,0.0
1,13,22,0,0.0
1,22,1,0,0.0
1,17,3,0,0.0
1,16,1,0,0.0
1,18,1,0,0.0
1,21,2,0,0.0
1,20,1,0,0.0
1,19,3,0,0.0
1,25,1,0,0.0
