iter,utterance_length,nb_utterances,produced,production_score
1,2,824,824,1.0
1,3,793,646,0.8146279949558638
1,4,735,375,0.5102040816326531
1,8,219,5,0.0228310502283105
1,6,446,67,0.15022421524663676
1,26,5,0,0.0
1,10,135,0,0.0
1,5,587,158,0.26916524701873934
1,11,106,0,0.0
1,16,33,0,0.0
1,7,336,23,0.06845238095238096
1,12,70,0,0.0
1,9,174,6,0.034482758620689655
1,14,70,1,0.014285714285714285
1,13,62,0,0.0
1,15,49,0,0.0
1,22,8,0,0.0
1,19,20,0,0.0
1,20,13,0,0.0
1,17,30,0,0.0
1,30,2,0,0.0
1,23,9,0,0.0
1,35,2,0,0.0
1,33,2,0,0.0
1,18,20,0,0.0
1,21,9,0,0.0
1,27,4,0,0.0
1,25,6,0,0.0
1,44,1,0,0.0
1,32,2,0,0.0
1,31,3,0,0.0
1,39,1,0,0.0
1,34,1,0,0.0
1,38,2,0,0.0
1,29,4,0,0.0
1,28,5,0,0.0
1,50,1,0,0.0
1,41,2,0,0.0
1,58,1,0,0.0
1,36,1,0,0.0
1,37,2,0,0.0
1,24,1,0,0.0
1,43,1,0,0.0
1,67,1,0,0.0
1,51,1,0,0.0
