iter,utterance_length,nb_utterances,produced,production_score
1,4,7593,3481,0.458448571052285
1,2,18565,18565,1.0
1,3,12762,9258,0.7254348848142924
1,5,4610,1315,0.28524945770065074
1,11,199,2,0.010050251256281407
1,6,2742,448,0.16338439095550694
1,7,1701,149,0.08759553203997648
1,8,901,45,0.049944506104328525
1,9,603,19,0.03150912106135987
1,12,145,0,0.0
1,17,11,0,0.0
1,15,41,0,0.0
1,10,367,8,0.021798365122615803
1,19,8,0,0.0
1,14,61,0,0.0
1,13,100,1,0.01
1,16,24,0,0.0
1,22,3,0,0.0
1,18,15,0,0.0
1,23,5,0,0.0
1,21,9,0,0.0
1,26,2,0,0.0
1,27,1,0,0.0
1,20,8,0,0.0
1,40,1,0,0.0
1,28,1,1,1.0
1,25,3,0,0.0
1,29,1,0,0.0
1,24,1,0,0.0
