decoder,hidden_dim,output_size,L1,L2,utterance_length,nb_utterances,produced,production_score
greedy,5,10,0.0,0.0,2,984,984,1.0
greedy,5,10,0.0,0.0,4,603,184,0.30514096185737977
greedy,5,10,0.0,0.0,8,67,0,0.0
greedy,5,10,0.0,0.0,10,13,0,0.0
greedy,5,10,0.0,0.0,3,932,654,0.7017167381974249
greedy,5,10,0.0,0.0,5,352,38,0.10795454545454546
greedy,5,10,0.0,0.0,9,28,1,0.03571428571428571
greedy,5,10,0.0,0.0,14,3,0,0.0
greedy,5,10,0.0,0.0,6,210,10,0.047619047619047616
greedy,5,10,0.0,0.0,7,98,2,0.02040816326530612
greedy,5,10,0.0,0.0,12,6,0,0.0
greedy,5,10,0.0,0.0,11,5,0,0.0
greedy,5,10,0.0,0.0,13,4,0,0.0
greedy,5,10,0.0,0.0,16,1,0,0.0
beam,5,10,0.0,0.0,2,984,984,1.0
beam,5,10,0.0,0.0,4,603,246,0.4079601990049751
beam,5,10,0.0,0.0,8,67,0,0.0
beam,5,10,0.0,0.0,10,13,0,0.0
beam,5,10,0.0,0.0,3,932,856,0.9184549356223176
beam,5,10,0.0,0.0,5,352,47,0.13352272727272727
beam,5,10,0.0,0.0,9,28,0,0.0
beam,5,10,0.0,0.0,14,3,0,0.0
beam,5,10,0.0,0.0,6,210,15,0.07142857142857142
beam,5,10,0.0,0.0,7,98,2,0.02040816326530612
beam,5,10,0.0,0.0,12,6,0,0.0
beam,5,10,0.0,0.0,11,5,0,0.0
beam,5,10,0.0,0.0,13,4,0,0.0
beam,5,10,0.0,0.0,16,1,0,0.0
greedy,5,10,0.01,0.0,2,984,984,1.0
greedy,5,10,0.01,0.0,4,603,164,0.27197346600331673
greedy,5,10,0.01,0.0,8,67,0,0.0
greedy,5,10,0.01,0.0,10,13,0,0.0
greedy,5,10,0.01,0.0,3,932,634,0.6802575107296137
greedy,5,10,0.01,0.0,5,352,32,0.09090909090909091
greedy,5,10,0.01,0.0,9,28,0,0.0
greedy,5,10,0.01,0.0,14,3,0,0.0
greedy,5,10,0.01,0.0,6,210,7,0.03333333333333333
greedy,5,10,0.01,0.0,7,98,1,0.01020408163265306
greedy,5,10,0.01,0.0,12,6,0,0.0
greedy,5,10,0.01,0.0,11,5,0,0.0
greedy,5,10,0.01,0.0,13,4,0,0.0
greedy,5,10,0.01,0.0,16,1,0,0.0
beam,5,10,0.01,0.0,2,984,984,1.0
beam,5,10,0.01,0.0,4,603,242,0.4013266998341625
beam,5,10,0.01,0.0,8,67,0,0.0
beam,5,10,0.01,0.0,10,13,0,0.0
beam,5,10,0.01,0.0,3,932,856,0.9184549356223176
beam,5,10,0.01,0.0,5,352,40,0.11363636363636363
beam,5,10,0.01,0.0,9,28,0,0.0
beam,5,10,0.01,0.0,14,3,0,0.0
beam,5,10,0.01,0.0,6,210,14,0.06666666666666667
beam,5,10,0.01,0.0,7,98,3,0.030612244897959183
beam,5,10,0.01,0.0,12,6,0,0.0
beam,5,10,0.01,0.0,11,5,0,0.0
beam,5,10,0.01,0.0,13,4,0,0.0
beam,5,10,0.01,0.0,16,1,0,0.0
greedy,5,10,0.0,0.01,2,984,984,1.0
greedy,5,10,0.0,0.01,4,603,188,0.3117744610281924
greedy,5,10,0.0,0.01,8,67,0,0.0
greedy,5,10,0.0,0.01,10,13,0,0.0
greedy,5,10,0.0,0.01,3,932,671,0.7199570815450643
greedy,5,10,0.0,0.01,5,352,47,0.13352272727272727
greedy,5,10,0.0,0.01,9,28,1,0.03571428571428571
greedy,5,10,0.0,0.01,14,3,0,0.0
greedy,5,10,0.0,0.01,6,210,11,0.05238095238095238
greedy,5,10,0.0,0.01,7,98,1,0.01020408163265306
greedy,5,10,0.0,0.01,12,6,0,0.0
greedy,5,10,0.0,0.01,11,5,0,0.0
greedy,5,10,0.0,0.01,13,4,0,0.0
greedy,5,10,0.0,0.01,16,1,0,0.0
beam,5,10,0.0,0.01,2,984,984,1.0
beam,5,10,0.0,0.01,4,603,247,0.4096185737976783
beam,5,10,0.0,0.01,8,67,0,0.0
beam,5,10,0.0,0.01,10,13,0,0.0
beam,5,10,0.0,0.01,3,932,855,0.9173819742489271
beam,5,10,0.0,0.01,5,352,69,0.19602272727272727
beam,5,10,0.0,0.01,9,28,0,0.0
beam,5,10,0.0,0.01,14,3,0,0.0
beam,5,10,0.0,0.01,6,210,18,0.08571428571428572
beam,5,10,0.0,0.01,7,98,5,0.05102040816326531
beam,5,10,0.0,0.01,12,6,0,0.0
beam,5,10,0.0,0.01,11,5,0,0.0
beam,5,10,0.0,0.01,13,4,0,0.0
beam,5,10,0.0,0.01,16,1,0,0.0
greedy,5,10,0.01,0.01,2,984,984,1.0
greedy,5,10,0.01,0.01,4,603,163,0.2703150912106136
greedy,5,10,0.01,0.01,8,67,0,0.0
greedy,5,10,0.01,0.01,10,13,0,0.0
greedy,5,10,0.01,0.01,3,932,641,0.6877682403433476
greedy,5,10,0.01,0.01,5,352,23,0.06534090909090909
greedy,5,10,0.01,0.01,9,28,1,0.03571428571428571
greedy,5,10,0.01,0.01,14,3,0,0.0
greedy,5,10,0.01,0.01,6,210,4,0.01904761904761905
greedy,5,10,0.01,0.01,7,98,1,0.01020408163265306
greedy,5,10,0.01,0.01,12,6,0,0.0
greedy,5,10,0.01,0.01,11,5,0,0.0
greedy,5,10,0.01,0.01,13,4,0,0.0
greedy,5,10,0.01,0.01,16,1,0,0.0
beam,5,10,0.01,0.01,2,984,984,1.0
beam,5,10,0.01,0.01,4,603,226,0.3747927031509121
beam,5,10,0.01,0.01,8,67,0,0.0
beam,5,10,0.01,0.01,10,13,0,0.0
beam,5,10,0.01,0.01,3,932,849,0.9109442060085837
beam,5,10,0.01,0.01,5,352,39,0.11079545454545454
beam,5,10,0.01,0.01,9,28,0,0.0
beam,5,10,0.01,0.01,14,3,0,0.0
beam,5,10,0.01,0.01,6,210,6,0.02857142857142857
beam,5,10,0.01,0.01,7,98,1,0.01020408163265306
beam,5,10,0.01,0.01,12,6,0,0.0
beam,5,10,0.01,0.01,11,5,0,0.0
beam,5,10,0.01,0.01,13,4,0,0.0
beam,5,10,0.01,0.01,16,1,0,0.0
greedy,5,50,0.0,0.0,2,984,984,1.0
greedy,5,50,0.0,0.0,4,603,187,0.3101160862354892
greedy,5,50,0.0,0.0,8,67,0,0.0
greedy,5,50,0.0,0.0,10,13,0,0.0
greedy,5,50,0.0,0.0,3,932,674,0.723175965665236
greedy,5,50,0.0,0.0,5,352,53,0.15056818181818182
greedy,5,50,0.0,0.0,9,28,0,0.0
greedy,5,50,0.0,0.0,14,3,0,0.0
greedy,5,50,0.0,0.0,6,210,11,0.05238095238095238
greedy,5,50,0.0,0.0,7,98,2,0.02040816326530612
greedy,5,50,0.0,0.0,12,6,0,0.0
greedy,5,50,0.0,0.0,11,5,0,0.0
greedy,5,50,0.0,0.0,13,4,0,0.0
greedy,5,50,0.0,0.0,16,1,0,0.0
beam,5,50,0.0,0.0,2,984,984,1.0
beam,5,50,0.0,0.0,4,603,232,0.38474295190713104
beam,5,50,0.0,0.0,8,67,0,0.0
beam,5,50,0.0,0.0,10,13,0,0.0
beam,5,50,0.0,0.0,3,932,847,0.9087982832618026
beam,5,50,0.0,0.0,5,352,71,0.20170454545454544
beam,5,50,0.0,0.0,9,28,0,0.0
beam,5,50,0.0,0.0,14,3,0,0.0
beam,5,50,0.0,0.0,6,210,17,0.08095238095238096
beam,5,50,0.0,0.0,7,98,3,0.030612244897959183
beam,5,50,0.0,0.0,12,6,0,0.0
beam,5,50,0.0,0.0,11,5,0,0.0
beam,5,50,0.0,0.0,13,4,0,0.0
beam,5,50,0.0,0.0,16,1,0,0.0
greedy,5,50,0.01,0.0,2,984,984,1.0
greedy,5,50,0.01,0.0,4,603,203,0.33665008291873966
greedy,5,50,0.01,0.0,8,67,0,0.0
greedy,5,50,0.01,0.0,10,13,0,0.0
greedy,5,50,0.01,0.0,3,932,678,0.7274678111587983
greedy,5,50,0.01,0.0,5,352,53,0.15056818181818182
greedy,5,50,0.01,0.0,9,28,0,0.0
greedy,5,50,0.01,0.0,14,3,1,0.3333333333333333
greedy,5,50,0.01,0.0,6,210,15,0.07142857142857142
greedy,5,50,0.01,0.0,7,98,2,0.02040816326530612
greedy,5,50,0.01,0.0,12,6,0,0.0
greedy,5,50,0.01,0.0,11,5,0,0.0
greedy,5,50,0.01,0.0,13,4,0,0.0
greedy,5,50,0.01,0.0,16,1,0,0.0
beam,5,50,0.01,0.0,2,984,984,1.0
beam,5,50,0.01,0.0,4,603,241,0.3996683250414594
beam,5,50,0.01,0.0,8,67,1,0.014925373134328358
beam,5,50,0.01,0.0,10,13,0,0.0
beam,5,50,0.01,0.0,3,932,825,0.8851931330472103
beam,5,50,0.01,0.0,5,352,67,0.1903409090909091
beam,5,50,0.01,0.0,9,28,0,0.0
beam,5,50,0.01,0.0,14,3,1,0.3333333333333333
beam,5,50,0.01,0.0,6,210,14,0.06666666666666667
beam,5,50,0.01,0.0,7,98,3,0.030612244897959183
beam,5,50,0.01,0.0,12,6,0,0.0
beam,5,50,0.01,0.0,11,5,0,0.0
beam,5,50,0.01,0.0,13,4,0,0.0
beam,5,50,0.01,0.0,16,1,0,0.0
greedy,5,50,0.0,0.01,2,984,984,1.0
greedy,5,50,0.0,0.01,4,603,177,0.2935323383084577
greedy,5,50,0.0,0.01,8,67,0,0.0
greedy,5,50,0.0,0.01,10,13,0,0.0
greedy,5,50,0.0,0.01,3,932,664,0.7124463519313304
greedy,5,50,0.0,0.01,5,352,47,0.13352272727272727
greedy,5,50,0.0,0.01,9,28,0,0.0
greedy,5,50,0.0,0.01,14,3,0,0.0
greedy,5,50,0.0,0.01,6,210,12,0.05714285714285714
greedy,5,50,0.0,0.01,7,98,1,0.01020408163265306
greedy,5,50,0.0,0.01,12,6,0,0.0
greedy,5,50,0.0,0.01,11,5,0,0.0
greedy,5,50,0.0,0.01,13,4,0,0.0
greedy,5,50,0.0,0.01,16,1,0,0.0
beam,5,50,0.0,0.01,2,984,984,1.0
beam,5,50,0.0,0.01,4,603,240,0.39800995024875624
beam,5,50,0.0,0.01,8,67,1,0.014925373134328358
beam,5,50,0.0,0.01,10,13,0,0.0
beam,5,50,0.0,0.01,3,932,822,0.8819742489270386
beam,5,50,0.0,0.01,5,352,68,0.19318181818181818
beam,5,50,0.0,0.01,9,28,0,0.0
beam,5,50,0.0,0.01,14,3,0,0.0
beam,5,50,0.0,0.01,6,210,16,0.0761904761904762
