decoder,hidden_dim,output_size,L1,L2,utterance_length,nb_utterances,produced,production_score
greedy,5,10,0.0,0.0,3,232,180,0.7758620689655172
greedy,5,10,0.0,0.0,2,338,338,1.0
greedy,5,10,0.0,0.0,4,134,52,0.3880597014925373
greedy,5,10,0.0,0.0,5,78,9,0.11538461538461539
greedy,5,10,0.0,0.0,6,39,3,0.07692307692307693
greedy,5,10,0.0,0.0,7,15,0,0.0
greedy,5,10,0.0,0.0,8,10,0,0.0
greedy,5,10,0.0,0.0,9,8,0,0.0
greedy,5,10,0.0,0.0,11,1,0,0.0
beam,5,10,0.0,0.0,3,232,222,0.9568965517241379
beam,5,10,0.0,0.0,2,338,338,1.0
beam,5,10,0.0,0.0,4,134,70,0.5223880597014925
beam,5,10,0.0,0.0,5,78,7,0.08974358974358974
beam,5,10,0.0,0.0,6,39,2,0.05128205128205128
beam,5,10,0.0,0.0,7,15,1,0.06666666666666667
beam,5,10,0.0,0.0,8,10,0,0.0
beam,5,10,0.0,0.0,9,8,0,0.0
beam,5,10,0.0,0.0,11,1,0,0.0
greedy,5,10,0.01,0.0,3,232,177,0.7629310344827587
greedy,5,10,0.01,0.0,2,338,338,1.0
greedy,5,10,0.01,0.0,4,134,61,0.4552238805970149
greedy,5,10,0.01,0.0,5,78,12,0.15384615384615385
greedy,5,10,0.01,0.0,6,39,1,0.02564102564102564
greedy,5,10,0.01,0.0,7,15,0,0.0
greedy,5,10,0.01,0.0,8,10,0,0.0
greedy,5,10,0.01,0.0,9,8,0,0.0
greedy,5,10,0.01,0.0,11,1,0,0.0
beam,5,10,0.01,0.0,3,232,217,0.9353448275862069
beam,5,10,0.01,0.0,2,338,338,1.0
beam,5,10,0.01,0.0,4,134,75,0.5597014925373134
beam,5,10,0.01,0.0,5,78,16,0.20512820512820512
beam,5,10,0.01,0.0,6,39,3,0.07692307692307693
beam,5,10,0.01,0.0,7,15,1,0.06666666666666667
beam,5,10,0.01,0.0,8,10,0,0.0
beam,5,10,0.01,0.0,9,8,0,0.0
